JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
LAGUNA NIGUEL,Total,Chlorpyrifos,ng/L,0.0031098449031808674,0.0031098449031808674
LAGUNA NIGUEL,Total,Chromium,ug/L,2.406037898776776,2.406037898776776
LAGUNA NIGUEL,Dissolved,Chromium,ug/L,2.406037898776776,2.406037898776776
LAGUNA NIGUEL,Total,Chrysene,ng/L,0.0275998735157302,0.0275998735157302
LAGUNA NIGUEL,Total,Copper,ug/L,31.91478331889365,31.91478331889365
LAGUNA NIGUEL,Dissolved,Copper,ug/L,31.91478331889365,31.91478331889365
LAGUNA NIGUEL,Total,delta BHC,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Demeton,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,Diazinon,ng/L,0.0031098449031808674,0.0031098449031808674
LAGUNA NIGUEL,Total,"Dibenz(a,h)anthracene",ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Dibenzothiophene,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Dichlorvos,ng/L,0.018659069419085204,0.018659069419085204
LAGUNA NIGUEL,Total,Dieldrin,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,Dimethoate,ng/L,0.031098449031808677,0.031098449031808677
LAGUNA NIGUEL,Total,Disulfoton,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,DOC,ng/L,0.03498575516078476,0.03498575516078476
LAGUNA NIGUEL,Total,E. coli,CFU/100 mL,12001861545661.77,12001861545661.77
LAGUNA NIGUEL,Total,Endosulfan I,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Endosulfan II,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Endosulfan sulfate,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Endrin,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Endrin aldehyde,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Enterococcus,CFU/100 mL,60996728266835.375,60996728266835.375
LAGUNA NIGUEL,Total,Ethoprop,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,Ethyl parathion,ng/L,0.062196898063617355,0.062196898063617355
LAGUNA NIGUEL,Total,Fecal coliforms,CFU/100 mL,20864067742632.03,20864067742632.03
LAGUNA NIGUEL,Total,Fenchlorophos,ng/L,0.01243937961272347,0.01243937961272347
LAGUNA NIGUEL,Total,Fensulfothion,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,Fenthion,ng/L,0.01243937961272347,0.01243937961272347
LAGUNA NIGUEL,Total,Fluoranthene,ng/L,0.04941198012831823,0.04941198012831823
LAGUNA NIGUEL,Total,Fluorene,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,gamma BHC,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,gamma Chlordane,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,Hardness,NA,NA,NA
LAGUNA NIGUEL,Total,Heptachlor,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Heptachlor epoxide,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Hexavalent chromium,ug/L,1.0434270089434472,1.0434270089434472
LAGUNA NIGUEL,Dissolved,Hexavalent chromium,ug/L,1.0434270089434472,1.0434270089434472
LAGUNA NIGUEL,Total,"Indeno(1,2,3-cd)pyrene",ng/L,0.03242324296056373,0.03242324296056373
LAGUNA NIGUEL,Total,Iron,ug/L,577.0489987013387,577.0489987013387
LAGUNA NIGUEL,Dissolved,Iron,ug/L,577.0489987013387,577.0489987013387
LAGUNA NIGUEL,Total,Lead,ug/L,1.2888579432071818,1.2888579432071818
LAGUNA NIGUEL,Dissolved,Lead,ug/L,1.2888579432071818,1.2888579432071818
LAGUNA NIGUEL,Total,Magnesium,mg/L,880863.5688259808,880863.5688259808
LAGUNA NIGUEL,Total,Malathion,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Manganese,ug/L,1646.0214707229886,1646.0214707229886
LAGUNA NIGUEL,Dissolved,Manganese,ug/L,1646.0214707229886,1646.0214707229886
LAGUNA NIGUEL,Total,MBAS,mg/L,396.3324559942728,396.3324559942728
LAGUNA NIGUEL,Total,Mercury,ug/L,0.1554922451590434,0.1554922451590434
LAGUNA NIGUEL,Dissolved,Mercury,ug/L,0.1554922451590434,0.1554922451590434
LAGUNA NIGUEL,Total,Merphos,ng/L,0.05857251518554656,0.05857251518554656
