Facility Identifier,AVGDISCHARGE,Jurisdiction,Qcalcs,QInscfs,AVGQadj,Q4calcs
L02-204-1 (L02P45),0.021667,RANCHO SANTA MARGARITA,NA,0.005,0.014950229999999998,0.005
L02-246-1 (L11P01),0.052218,RANCHO SANTA MARGARITA,NA,0.024292175,0.03603042,0.024292175
L02-344-1,0,ORANGE CO,NA,0,0,0
L02-344-2,0.408144,ORANGE CO,NA,NA,0.28161936,0.28161936
L02-359-1 (L02P43),0.010162,ORANGE CO,NA,NA,0.007011779999999999,0.007011779999999999
L02-366-1 (MVL02P14),0.039306,MISSION VIEJO,NA,NA,0.02712114,0.02712114
L02-374-1 (L02P50),0.240898,ORANGE CO,NA,0.42105,0.16621961999999998,0.42105
L02-374-2 (MVL02P20),0.008624,ORANGE CO,NA,0,0.00595056,0
L02-396-1,0.023463,MISSION VIEJO,NA,0.011828669999999998,0.01618947,0.011828669999999998
L02-401-1,0,ORANGE CO,NA,NA,0,0
L02-401-2 (COL02P55),NA,ORANGE CO,NA,NA,NA,NA
L02-502-1,0.025518,SAN JUAN CAPISTRANO,NA,0.01666626,0.01760742,0.01666626
L02-502-5,0,SAN JUAN CAPISTRANO,NA,0,0,0
L02-502-6,NA,SAN JUAN CAPISTRANO,NA,NA,NA,NA
L02-541-2,0,SAN JUAN CAPISTRANO,NA,0,0,0
L02-541-6,0.002973,SAN JUAN CAPISTRANO,NA,0.004484999999999999,0.00205137,0.004484999999999999
L02-541-7,0,SAN JUAN CAPISTRANO,NA,0,0,0
L02-541-9 (L02P02),0.048641,SAN JUAN CAPISTRANO,NA,NA,0.033562289999999995,0.033562289999999995
L02-571-1,0,SAN JUAN CAPISTRANO,NA,0,0,0
L02-571-3,0.007712,SAN JUAN CAPISTRANO,NA,0.024930734999999996,0.005321279999999999,0.024930734999999996
L02-571-5 (L02TBN2),0.053191,SAN JUAN CAPISTRANO,NA,0.44042561999999996,0.03670179,0.44042561999999996
L02-622-1 (L02P28),0.014251,RANCHO SANTA MARGARITA,NA,0,0.009833189999999999,0
L02-622-2 (L02P32),0.100282,RANCHO SANTA MARGARITA,NA,NA,0.06919457999999999,0.06919457999999999
L02-640-1 (L11P02),0.163333,RANCHO SANTA MARGARITA,NA,NA,0.11269976999999999,0.11269976999999999
L02-641-1,0.049392,RANCHO SANTA MARGARITA,NA,0.0125,0.034080479999999996,0.0125
L02-641-2,0.331514,RANCHO SANTA MARGARITA,NA,0.067,0.22874465999999996,0.067
L03-074-1 (L03B01),0.199451,MISSION VIEJO,NA,0.026500000000000003,0.13762118999999998,0.026500000000000003
L03-074-2,0.029399,MISSION VIEJO,NA,0.051174884999999996,0.02028531,0.051174884999999996
L03-141-1,0.069135,MISSION VIEJO,NA,0.036973305,0.04770315,0.036973305
L03-141-2,0.005866,MISSION VIEJO,NA,NA,0.00404754,0.00404754
L03-141-3,0.01245,MISSION VIEJO,NA,NA,0.0085905,0.0085905
L03-142-1 (L03P24),0.018174,RANCHO SANTA MARGARITA,NA,NA,0.012540059999999999,0.012540059999999999
L03-172-2,0.017881,MISSION VIEJO,NA,0.021413804999999998,0.012337889999999999,0.021413804999999998
L03-172-3,NA,MISSION VIEJO,NA,NA,NA,NA
L03-214-2 (L03P18),0.592284,MISSION VIEJO,NA,0.613,0.40867596,0.613
L03-240-1 (L03P14),0.026244,MISSION VIEJO,NA,0.021,0.018108359999999997,0.021
L03-241-3,0.34292,MISSION VIEJO,NA,0.250684935,0.2366148,0.250684935
L03-241-4,0.012388,MISSION VIEJO,NA,0.00305802,0.00854772,0.00305802
L03-316-1,0.034398,MISSION VIEJO,NA,0.002,0.023734619999999998,0.002
L03-316-2,0.022959,MISSION VIEJO,NA,0.0025,0.01584171,0.0025
L03-316-3 (L03P12),0.27494,MISSION VIEJO,NA,0.083,0.1897086,0.083
L03-316-4,0.017486,MISSION VIEJO,NA,8.104049999999999e-4,0.01206534,8.104049999999999e-4
L03-418-1,0.064963,LAGUNA NIGUEL,NA,0.005,0.04482447,0.005
L03-418-2,0.007569,LAGUNA NIGUEL,NA,0.008425589999999998,0.00522261,0.008425589999999998
L03-418-3,7.22e-4,LAGUNA NIGUEL,NA,NA,4.9818e-4,4.9818e-4
L03-418-8,0.155072,LAGUNA NIGUEL,NA,0.11980062500000001,0.10699967999999999,0.11980062500000001
L03-455-2,0.005926,SAN JUAN CAPISTRANO,NA,0.002,0.004088939999999999,0.002
L03-455-3 (L03P37),0,SAN JUAN CAPISTRANO,NA,0,0,0
L03-455-5,0.006883,LAGUNA NIGUEL,NA,0.002,0.00474927,0.002
L03-455-6,0,LAGUNA NIGUEL,NA,0,0,0
L03-455-7,0.052413,LAGUNA NIGUEL,NA,0.005,0.03616497,0.005
L03-497-1,0,SAN JUAN CAPISTRANO,NA,NA,0,0
L03-662-1,0.019535,MISSION VIEJO,NA,0.003,0.013479149999999999,0.003
L03-662-3 (L03P16),0.164525,MISSION VIEJO,NA,0.076,0.11352224999999999,0.076
L03-691-1 (L03P09),0.31644,MISSION VIEJO,NA,NA,0.21834359999999997,0.21834359999999997
L03-693-1 (L03P11),0.116283,MISSION VIEJO,NA,0.033,0.08023527,0.033
L03-708-1,0.018177,LAGUNA NIGUEL,NA,NA,0.012542129999999999,0.012542129999999999
L03-708-11 (L03P05),0.129137,LAGUNA NIGUEL,NA,0.022,0.08910453,0.022
L03-708-13,0.059417,LAGUNA NIGUEL,NA,0.0115,0.040997729999999996,0.0115
L03-708-5,0.005715,LAGUNA NIGUEL,NA,0,0.003943349999999999,0
L03-708-9,0.049438,LAGUNA NIGUEL,NA,0.020999999999999998,0.03411222,0.020999999999999998
L04-136-1 (L04P07),0.360636,MISSION VIEJO,NA,NA,0.24883883999999998,0.24883883999999998
L04-266-1,0.00225,MISSION VIEJO,NA,NA,0.0015524999999999998,0.0015524999999999998
L04-266-5,0.495302,MISSION VIEJO,NA,0.5863043849999999,0.34175838,0.5863043849999999
L04-301-1 (L04P08),0.034968,MISSION VIEJO,NA,NA,0.024127919999999997,0.024127919999999997
L04-672-1,0.220338,MISSION VIEJO,NA,0.05546999999999999,0.15203322,0.05546999999999999
L04-702-1 (L04P02),0.019946,MISSION VIEJO,NA,NA,0.013762739999999997,0.013762739999999997
L04-702-4,0,MISSION VIEJO,NA,0,0,0
L05-049-1,0.935829,ORANGE CO,NA,0.0655,0.64572201,0.0655
L05-489-3,0.851665,ORANGE CO,NA,0.9673158299999998,0.58764885,0.9673158299999998
L05-489-3d,1.798552,ORANGE CO,NA,0.95957127,1.2410008799999999,0.95957127
L05-489-4,0.251571,ORANGE CO,NA,0.33119999999999994,0.17358398999999997,0.33119999999999994
L05-489-7,0.087582,ORANGE CO,NA,0.023,0.06043157999999999,0.023
L05-503-1,0.096261,SAN JUAN CAPISTRANO,NA,0.10142999999999999,0.06642009,0.10142999999999999
LC01-11446-1,0.014845,LAGUNA BEACH,NA,0.01805,0.01024305,0.01805
LC01-11480-1,NA,ORANGE CO,NA,NA,NA,NA
LC02-11508-2,0.024574,LAGUNA BEACH,NA,0.005,0.01695606,0.005
LC02-11508-3,0,LAGUNA BEACH,NA,0,0,0
LC03-11515-1,0.016796,LAGUNA BEACH,NA,0,0.011589239999999997,0
LC04-11199-1,0.060779,LAGUNA BEACH,NA,0.02,0.04193751,0.02
LC05-11017-1,0,LAGUNA BEACH,NA,0,0,0
LC05-11017-2,0.083233,LAGUNA BEACH,NA,0.006,0.05743077,0.006
LC06-11019-1,0.115647,LAGUNA BEACH,NA,0.004,0.07979642999999999,0.004
LC06-11509-2,0.043337,LAGUNA BEACH,NA,0.009,0.029902529999999997,0.009
M00.1-070-4,0,SAN CLEMENTE,NA,NA,0,0
M00.1-070-6,0,SAN CLEMENTE,NA,NA,0,0
M00.1-071-2 (M00S04),0.055592,SAN CLEMENTE,NA,0.006,0.03835848,0.006
M00.1-071-3 (M00S04),0.051583,SAN CLEMENTE,NA,0.013000000000000001,0.035592269999999995,0.013000000000000001
M00.2-066-1 (M00S07),0.013801,SAN CLEMENTE,NA,0.00559452,0.00952269,0.00559452
M01-002-1,0,ORANGE CO,NA,NA,0,0
M01-003-1,0,ORANGE CO,NA,NA,0,0
M01-003-2,0,ORANGE CO,NA,NA,0,0
M01-038-3,0.016243,SAN CLEMENTE,NA,0.004,0.01120767,0.004
M01-038-6,0.013791,SAN CLEMENTE,NA,NA,0.00951579,0.00951579
