Facility Identifier,AVGDISCHARGE,Jurisdiction,Qcalcs,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2024,Qcont4calcPrior,Qcf2024,Qcfp,Qboth,Q4calcsall
J01-9131-1 (J01P28),0.082706,ALISO VIEJO,NA,NA,0.057067139999999995,0.057067139999999995,4930.600896,0.036,NA,3110.3999999999996,NA,NA,3110.3999999999996
J01-9144-1 (J01P23),0.050193,LAGUNA NIGUEL,NA,0.002,0.03463317,0.002,172.79999999999998,0.005,NA,432,NA,NA,432
J01-9144-4 (J01P26),0.003827,ALISO VIEJO,NA,NA,0.0026406299999999997,0.0026406299999999997,228.15043199999997,NA,NA,NA,NA,NA,228.15043199999997
J01-9224-1 (J01P24),0.034237,LAGUNA NIGUEL,NA,0.0035,0.023623529999999997,0.0035,302.4,0.003,NA,259.2,NA,NA,259.2
J01-9224-2 (J01P25),0.108437,LAGUNA NIGUEL,NA,0.03233333333333333,0.07482153,0.03233333333333333,2793.6,0.012,NA,1036.8,NA,NA,1036.8
J01-9259-3,0.00601,LAKE FOREST,NA,NA,0.004146899999999999,0.004146899999999999,358.29215999999997,NA,NA,NA,NA,NA,358.29215999999997
J01-9264-1 (J01P06),0,LAKE FOREST,NA,NA,0,0,0,0.076,NA,6566.4,NA,NA,6566.4
J01-9273-1,0.002304,LAGUNA WOODS,NA,0.002,0.00158976,0.002,172.79999999999998,0.147,NA,12700.800000000001,NA,NA,12700.800000000001
J01-9275-1,0.002727,LAKE FOREST,NA,0,0.0018816299999999998,0,0,NA,NA,NA,NA,NA,0
J01-9275-2,0.001661,LAKE FOREST,NA,0,0.0011460899999999998,0,0,NA,NA,NA,NA,NA,0
J01-9313-1,0.05,ALISO VIEJO,NA,NA,0.034499999999999996,0.034499999999999996,2980.7999999999997,NA,NA,NA,NA,NA,2980.7999999999997
J01-9349-1,NA,LAKE FOREST,NA,NA,NA,NA,NA,0.001,NA,86.39999999999999,NA,NA,86.39999999999999
J01-9364-3 (J01P21),1.836666,ORANGE CO,NA,NA,1.2672995399999998,1.2672995399999998,109494.68025599999,NA,0,NA,0,NA,0
J01-9364-4,0,ORANGE CO,NA,NA,0,0,0,NA,NA,NA,NA,NA,0
J01-9377-1,0.001816,LAKE FOREST,NA,0,0.0012530399999999998,0,0,NA,0.007,NA,604.8,NA,604.8
J01-9377-2 (J01TBN8),4.2e-5,LAKE FOREST,NA,0,2.8979999999999997e-5,0,0,NA,NA,NA,NA,NA,0
J01-9782-1 (J01TBN3),0.001588,LAKE FOREST,NA,0.0036797699999999997,0.00109572,0.0036797699999999997,317.932128,NA,NA,NA,NA,NA,317.932128
J01-9785-1,0.027279,LAKE FOREST,NA,0.16655150999999999,0.01882251,0.16655150999999999,14390.050464,NA,NA,NA,NA,NA,14390.050464
J01-9992-1 (J01P27),0.159686,ALISO VIEJO,NA,0.035489325,0.11018333999999999,0.035489325,3066.27768,NA,0.009,NA,777.5999999999999,NA,777.5999999999999
J03-9215-1,NA,LAGUNA NIGUEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J03-9215-3,0.051159,LAGUNA NIGUEL,NA,0.010499999999999999,0.03529971,0.010499999999999999,907.1999999999999,0.034,NA,2937.6000000000004,NA,NA,2937.6000000000004
J03-9216-1 (J03P01),0.012897,LAGUNA NIGUEL,NA,NA,0.00889893,0.00889893,768.8675519999999,0.025,NA,2160,NA,NA,2160
J03-9216-2,1.520455,LAGUNA NIGUEL,NA,0.5875161566666667,1.0491139499999997,0.5875161566666667,50761.395936,0.683,NA,59011.200000000004,NA,NA,59011.200000000004
J03-9216-5,NA,LAGUNA NIGUEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J03-9221-1 (J03P02),0.239694,LAGUNA NIGUEL,NA,0.0928475,0.16538885999999997,0.0928475,8022.023999999999,0.166,NA,14342.400000000001,NA,NA,14342.400000000001
J03-9234-5,0.012591,LAGUNA NIGUEL,NA,NA,0.008687789999999999,0.008687789999999999,750.6250559999999,NA,NA,NA,NA,NA,750.6250559999999
J03-9234-6,0.981972,LAGUNA NIGUEL,NA,0.050986615,0.6775606799999999,0.050986615,4405.243536,0.039,NA,3369.5999999999995,NA,NA,3369.5999999999995
J03-9234-8,0.302939,LAGUNA NIGUEL,NA,0.081363865,0.20902790999999998,0.081363865,7029.837936,NA,NA,NA,NA,NA,7029.837936
J03-9368-1 (J03TBN1),0.006481,LAGUNA NIGUEL,NA,NA,0.004471889999999999,0.004471889999999999,386.37129599999986,0.003,NA,259.2,NA,NA,259.2
J03-9368-2 (J03TBN2),0.04806,LAGUNA NIGUEL,NA,0.039,0.033161399999999994,0.039,3369.5999999999995,NA,0.002,NA,172.79999999999998,NA,172.79999999999998
J04-9249-1,1.180767,LAGUNA NIGUEL,NA,NA,0.8147292299999999,0.8147292299999999,70392.605472,NA,NA,NA,NA,NA,70392.605472
J05-9255-1 (J05P01),0,LAGUNA HILLS,NA,NA,0,0,0,NA,NA,NA,NA,NA,0
J05-9271-6,0,LAGUNA HILLS,NA,0,0,0,0,NA,NA,NA,NA,NA,0
J05-9800-2,0,LAGUNA HILLS,NA,NA,0,0,0,NA,0,NA,0,NA,0
J06-10011-1 (J06P01),0.603221,ALISO VIEJO,NA,0.5413049999999999,0.41622249,0.5413049999999999,46768.75199999999,0.017,NA,1468.8000000000002,NA,NA,1468.8000000000002
J06-9079-1 (J06P03),0.130309,ALISO VIEJO,NA,0.027,0.08991321,0.027,2332.7999999999997,NA,0.0275,NA,2376,NA,2376
J07-9022-1,0.004128,MISSION VIEJO,NA,0.00119,0.0028483199999999997,0.00119,102.81600000000002,NA,NA,NA,NA,NA,102.81600000000002
J07-9022-6,0.001924,MISSION VIEJO,NA,0.00184023,0.0013275599999999998,0.00184023,158.99587200000002,NA,NA,NA,NA,NA,158.99587200000002
J07-9109-1,0.008731,MISSION VIEJO,NA,NA,0.006024389999999999,0.006024389999999999,520.5072959999999,NA,NA,NA,NA,NA,520.5072959999999
J07-9109-2,0.05716,MISSION VIEJO,NA,NA,0.0394404,0.0394404,3407.6505599999996,NA,NA,NA,NA,NA,3407.6505599999996
J07-9109-4 (J07P02),0.170884,MISSION VIEJO,NA,0.031066666666666666,0.11790996,0.031066666666666666,2684.16,0.026,NA,2246.3999999999996,NA,NA,2246.3999999999996
J07-9110-1,0.004715,MISSION VIEJO,NA,NA,0.0032533499999999995,0.0032533499999999995,281.08943999999997,NA,NA,NA,NA,NA,281.08943999999997
J07-9110-2,0.013448,MISSION VIEJO,NA,0.001,0.009279119999999998,0.001,86.39999999999999,0.001,NA,86.39999999999999,NA,NA,86.39999999999999
J07-9110-3,0.010077,MISSION VIEJO,NA,NA,0.006953129999999999,0.006953129999999999,600.7504319999999,0,NA,0,NA,NA,0
K01-12032-2 (K01P11),0.097353,LAGUNA NIGUEL,NA,0.04943897,0.06717356999999999,0.04943897,4271.527008,NA,0.186875,NA,16146,NA,16146
K01-12036-1,0.026632,LAGUNA NIGUEL,NA,0.002,0.01837608,0.002,172.79999999999998,NA,0.10354513888888889,NA,8946.3,NA,8946.3
K01-12036-10,0.016851,LAGUNA NIGUEL,NA,0.004883225,0.01162719,0.004883225,421.91063999999994,NA,0.011220004021657291,NA,969.4083474711899,NA,969.4083474711899
K01-12036-5,0.052474,LAGUNA NIGUEL,NA,0.022444255,0.03620706,0.022444255,1939.183632,NA,0.06728022225347222,NA,5813.011202699999,NA,5813.011202699999
K01-12058-1 (K01P08),0.166967,LAGUNA NIGUEL,NA,NA,0.11520723,0.11520723,9953.904671999999,NA,0.089,NA,7689.5999999999995,NA,7689.5999999999995
K01-12058-2 (K01P09),0.12576,LAGUNA NIGUEL,NA,NA,0.0867744,0.0867744,7497.3081600000005,NA,NA,NA,NA,NA,7497.3081600000005
K01-12062-1,0.122807,LAGUNA NIGUEL,NA,NA,0.08473683,0.08473683,7321.262112,NA,NA,NA,NA,NA,7321.262112
K01-12126-1 (K01S01),0.457496,DANA POINT,NA,0.232585665,0.31567224,0.232585665,20095.401456,NA,NA,NA,NA,NA,20095.401456
