JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
ALISO VIEJO,Total,BHC-alpha,4.50E-04,0.001158326,0.001608629
LAGUNA HILLS,Total,BHC-alpha,1.41E-05,0.00260228,0.002616332
LAGUNA WOODS,Total,BHC-alpha,2.57E-05,3.99E-04,4.24E-04
DANA POINT,Total,BHC-alpha,7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,BHC-alpha,6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,BHC-alpha,3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,BHC-alpha,0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,alpha Chlordane,0.001866708,0.001990957,0.003857665
LAKE FOREST,Total,alpha Chlordane,6.02E-05,4.26E-04,4.86E-04
RANCHO SANTA MARGARITA,Total,alpha Chlordane,4.13E-04,0.002082021,0.00249552
ORANGE CO,Total,alpha Chlordane,0.001823142,0.003453308,0.00527645
LAGUNA NIGUEL,Total,alpha Chlordane,0.001041907,0.00621969,0.007261597
ALISO VIEJO,Total,alpha Chlordane,1.80E-04,4.63E-04,6.43E-04
LAGUNA HILLS,Total,alpha Chlordane,5.62E-06,0.001040912,0.001046533
LAGUNA WOODS,Total,alpha Chlordane,1.03E-05,1.59E-04,1.70E-04
DANA POINT,Total,alpha Chlordane,3.16E-04,2.52E-04,5.68E-04
SAN JUAN CAPISTRANO,Total,alpha Chlordane,2.46E-04,0.001087879,0.001333971
LAGUNA BEACH,Total,alpha Chlordane,1.38E-04,1.19E-04,2.56E-04
SAN CLEMENTE,Total,alpha Chlordane,6.78E-04,0.001440002,0.002117875
MISSION VIEJO,Total,"Ammonia, as Nitrogen",522.9570803,342.195757,865.1528373
LAKE FOREST,Total,"Ammonia, as Nitrogen",10.29130407,110.0087643,120.3000683
RANCHO SANTA MARGARITA,Total,"Ammonia, as Nitrogen",28.88341152,174.3692557,203.2526672
ORANGE CO,Total,"Ammonia, as Nitrogen",3369.799961,2231.446127,5601.246088
LAGUNA NIGUEL,Total,"Ammonia, as Nitrogen",189.1056095,849.2268774,1038.332487
ALISO VIEJO,Total,"Ammonia, as Nitrogen",132.2785539,216.9227866,349.2013405
LAGUNA HILLS,Total,"Ammonia, as Nitrogen",3.709705145,343.5009656,347.2106707
LAGUNA WOODS,Total,"Ammonia, as Nitrogen",6.789991354,52.63112736,59.42111871
DANA POINT,Total,"Ammonia, as Nitrogen",28.13579334,15.13673253,43.27252587
SAN JUAN CAPISTRANO,Total,"Ammonia, as Nitrogen",526.2061072,794.1519004,1320.358008
LAGUNA BEACH,Total,"Ammonia, as Nitrogen",6.894444506,5.929304917,12.82374942
SAN CLEMENTE,Total,"Ammonia, as Nitrogen",151.1766948,328.3203744,479.4970692
MISSION VIEJO,Total,Anthracene,0.004666771,0.004977393,0.009644163
LAKE FOREST,Total,Anthracene,1.50E-04,0.001064601,0.001214986
RANCHO SANTA MARGARITA,Total,Anthracene,0.001033747,0.005205052,0.0062388
ORANGE CO,Total,Anthracene,0.004557855,0.008633269,0.013191124
LAGUNA NIGUEL,Total,Anthracene,0.002604768,0.015549225,0.018153992
ALISO VIEJO,Total,Anthracene,4.50E-04,0.001158326,0.001608629
LAGUNA HILLS,Total,Anthracene,1.41E-05,0.00260228,0.002616332
LAGUNA WOODS,Total,Anthracene,2.57E-05,3.99E-04,4.24E-04
DANA POINT,Total,Anthracene,7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,Anthracene,6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,Anthracene,3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,Anthracene,0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,"Arsenic, Total",12.62210393,9.564889886,22.18699382
MISSION VIEJO,Dissolved,"Arsenic, Total",12.32129644,9.564889886,21.88618633
LAKE FOREST,Total,"Arsenic, Total",0.336949902,2.427290153,2.764240056
LAKE FOREST,Dissolved,"Arsenic, Total",0.317753014,2.427290153,2.745043168
RANCHO SANTA MARGARITA,Total,"Arsenic, Total",1.18146855,7.266253163,8.447721713
RANCHO SANTA MARGARITA,Dissolved,"Arsenic, Total",1.138539333,7.266253163,8.404792496
ORANGE CO,Total,"Arsenic, Total",4.994301774,15.31081487,20.30511664
ORANGE CO,Dissolved,"Arsenic, Total",4.760440883,15.31081487,20.07125575
LAGUNA NIGUEL,Total,"Arsenic, Total",1.68432924,17.72611595,19.41044519
ALISO VIEJO,Total,"Arsenic, Total",1.17378754,3.941202716,5.114990256
LAGUNA NIGUEL,Dissolved,"Arsenic, Total",1.630980125,17.72611595,19.35709607
