JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
LAGUNA WOODS,Dissolved,Nickel,0.041665856,0.645927472,0.687593328
DANA POINT,Total,Nickel,19.75489041,6.917697,26.67258741
SAN JUAN CAPISTRANO,Total,Nickel,2.698283097,5.297972267,7.996255364
DANA POINT,Dissolved,Nickel,18.41869615,6.917697,25.33639315
SAN JUAN CAPISTRANO,Dissolved,Nickel,2.85119787,5.297972267,8.149170137
LAGUNA BEACH,Total,Nickel,0.61192835,0.422462975,1.034391326
LAGUNA BEACH,Dissolved,Nickel,0.677779575,0.422462975,1.100242551
SAN CLEMENTE,Total,Nickel,65.28415176,232.9922657,298.2764175
SAN CLEMENTE,Dissolved,Nickel,64.47572346,232.9922657,297.4679892
MISSION VIEJO,Total,Nitrate+Nitrite Nitrogen,4180.090124,4567.587486,8747.67761
LAKE FOREST,Total,Nitrate+Nitrite Nitrogen,368.8517569,1841.759634,2210.611391
RANCHO SANTA MARGARITA,Total,Nitrate+Nitrite Nitrogen,445.3712441,2926.726612,3372.097856
ORANGE CO,Total,Nitrate+Nitrite Nitrogen,5196.416409,10834.17709,16030.5935
LAGUNA NIGUEL,Total,Nitrate+Nitrite Nitrogen,2358.548732,10981.20789,13339.75662
ALISO VIEJO,Total,Nitrate+Nitrite Nitrogen,1192.048674,2427.850373,3619.899046
LAGUNA HILLS,Total,Nitrate+Nitrite Nitrogen,11.52256901,2133.869635,2145.392204
LAGUNA WOODS,Total,Nitrate+Nitrite Nitrogen,21.09012466,326.9509427,348.0410673
DANA POINT,Total,Nitrate+Nitrite Nitrogen,724.2636547,438.7850443,1163.048699
SAN JUAN CAPISTRANO,Total,Nitrate+Nitrite Nitrogen,1104.046929,2887.231704,3991.278632
LAGUNA BEACH,Total,Nitrate+Nitrite Nitrogen,78.2550385,59.29304917,137.5480877
SAN CLEMENTE,Total,Nitrate+Nitrite Nitrogen,2644.228276,6638.407571,9282.635847
MISSION VIEJO,Total,Phosphorus as PO4,1891.561058,1685.677038,3577.238096
LAKE FOREST,Total,Phosphorus as PO4,87.58034316,383.25634,470.8366831
RANCHO SANTA MARGARITA,Total,Phosphorus as PO4,419.2248587,2110.276962,2529.501821
ORANGE CO,Total,Phosphorus as PO4,1774.888966,3395.752489,5170.641455
LAGUNA NIGUEL,Total,Phosphorus as PO4,739.4116667,3685.16621,4424.577877
ALISO VIEJO,Total,Phosphorus as PO4,167.9457064,361.3975746,529.3432809
LAGUNA HILLS,Total,Phosphorus as PO4,1.124153074,208.1824034,209.3065565
LAGUNA WOODS,Total,Phosphorus as PO4,2.057573138,31.89765294,33.95522608
DANA POINT,Total,Phosphorus as PO4,210.8104288,164.1915015,375.0019303
