JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
ALISO VIEJO,Total,Chloride,359.375,mg/L
LAGUNA HILLS,Total,Chloride,395,mg/L
LAGUNA WOODS,Total,Chloride,395,mg/L
DANA POINT,Total,Chloride,778.3333333333334,mg/L
SAN JUAN CAPISTRANO,Total,Chloride,555,mg/L
LAGUNA BEACH,Total,Chloride,1625,mg/L
SAN CLEMENTE,Total,Chloride,448.75,mg/L
MISSION VIEJO,Total,Chlorpyrifos,0.5,ng/L
LAKE FOREST,Total,Chlorpyrifos,0.5,ng/L
RANCHO SANTA MARGARITA,Total,Chlorpyrifos,0.5,ng/L
ORANGE CO,Total,Chlorpyrifos,0.5,ng/L
LAGUNA NIGUEL,Total,Chlorpyrifos,0.5,ng/L
ALISO VIEJO,Total,Chlorpyrifos,0.5,ng/L
LAGUNA HILLS,Total,Chlorpyrifos,0.5,ng/L
LAGUNA WOODS,Total,Chlorpyrifos,0.5,ng/L
DANA POINT,Total,Chlorpyrifos,0.5,ng/L
SAN JUAN CAPISTRANO,Total,Chlorpyrifos,0.796,ng/L
LAGUNA BEACH,Total,Chlorpyrifos,0.5,ng/L
SAN CLEMENTE,Total,Chlorpyrifos,0.5,ng/L
MISSION VIEJO,Total,Chromium,0.36678571428571427,ug/L
MISSION VIEJO,Dissolved,Chromium,0.36678571428571427,ug/L
LAKE FOREST,Total,Chromium,0.64,ug/L
LAKE FOREST,Dissolved,Chromium,0.64,ug/L
RANCHO SANTA MARGARITA,Total,Chromium,0.31466666666666665,ug/L
RANCHO SANTA MARGARITA,Dissolved,Chromium,0.31466666666666665,ug/L
ORANGE CO,Total,Chromium,0.6604545454545454,ug/L
ORANGE CO,Dissolved,Chromium,0.6604545454545454,ug/L
LAGUNA NIGUEL,Total,Chromium,0.3868421052631579,ug/L
ALISO VIEJO,Total,Chromium,1.0911111111111111,ug/L
LAGUNA NIGUEL,Dissolved,Chromium,0.3868421052631579,ug/L
ALISO VIEJO,Dissolved,Chromium,1.0911111111111111,ug/L
LAGUNA HILLS,Total,Chromium,0.515,ug/L
LAGUNA WOODS,Total,Chromium,0.515,ug/L
LAGUNA HILLS,Dissolved,Chromium,0.515,ug/L
LAGUNA WOODS,Dissolved,Chromium,0.515,ug/L
DANA POINT,Total,Chromium,0.42583333333333334,ug/L
SAN JUAN CAPISTRANO,Total,Chromium,0.276875,ug/L
DANA POINT,Dissolved,Chromium,0.42583333333333334,ug/L
SAN JUAN CAPISTRANO,Dissolved,Chromium,0.276875,ug/L
LAGUNA BEACH,Total,Chromium,0.23500000000000001,ug/L
LAGUNA BEACH,Dissolved,Chromium,0.23500000000000001,ug/L
SAN CLEMENTE,Total,Chromium,0.841875,ug/L
SAN CLEMENTE,Dissolved,Chromium,0.841875,ug/L
MISSION VIEJO,Total,Chrysene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Chrysene,3.95,ng/L
ORANGE CO,Total,Chrysene,3.6176470588235294,ng/L
LAGUNA NIGUEL,Total,Chrysene,4.4375,ng/L
ALISO VIEJO,Total,Chrysene,5.044444444444444,ng/L
LAGUNA HILLS,Total,Chrysene,2.5,ng/L
LAGUNA WOODS,Total,Chrysene,2.5,ng/L
LAKE FOREST,Total,Chrysene,2.5,ng/L
DANA POINT,Total,Chrysene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Chrysene,2.5,ng/L
LAGUNA BEACH,Total,Chrysene,2.5,ng/L
SAN CLEMENTE,Total,Chrysene,2.5,ng/L
MISSION VIEJO,Total,Copper,5.116666666666666,ug/L
MISSION VIEJO,Dissolved,Copper,5.116666666666666,ug/L
LAKE FOREST,Total,Copper,5.7125,ug/L
LAKE FOREST,Dissolved,Copper,5.7125,ug/L
RANCHO SANTA MARGARITA,Total,Copper,4.785714285714286,ug/L
RANCHO SANTA MARGARITA,Dissolved,Copper,4.785714285714286,ug/L
ORANGE CO,Total,Copper,4.373666666666667,ug/L
ORANGE CO,Dissolved,Copper,4.373666666666667,ug/L
LAGUNA NIGUEL,Total,Copper,5.13125,ug/L
ALISO VIEJO,Total,Copper,4.6499999999999995,ug/L
LAGUNA NIGUEL,Dissolved,Copper,5.13125,ug/L
ALISO VIEJO,Dissolved,Copper,4.6499999999999995,ug/L
LAGUNA HILLS,Total,Copper,3.35,ug/L
LAGUNA WOODS,Total,Copper,3.35,ug/L
LAGUNA HILLS,Dissolved,Copper,3.35,ug/L
LAGUNA WOODS,Dissolved,Copper,3.35,ug/L
