Jurisdiction,Facility Identifier,JURISDICTI3,AnnualCF,avgCnx,Qadj_Qall,QJur_S,QJur_US
ORANGE CO,L02-344-1,ORANGE CO,0,0.385,0,NA,55316727.45998856
ORANGE CO,L02-344-1,RANCHO SANTA MARGARITA,0,0.385,0,NA,33350804.219124522
ORANGE CO,L02-374-2 (MVL02P20),MISSION VIEJO,0,0.77,0,NA,31892100.351538483
ORANGE CO,L02-401-1,MISSION VIEJO,0,1,0,NA,31892100.351538483
ORANGE CO,L02-401-1,ORANGE CO,0,1,0,NA,55316727.45998856
SAN JUAN CAPISTRANO,L02-502-5,SAN JUAN CAPISTRANO,0,0.77,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L02-541-2,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L02-541-7,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L02-571-1,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
RANCHO SANTA MARGARITA,L02-622-1 (L02P28),RANCHO SANTA MARGARITA,0,0.77,0,NA,33350804.219124522
SAN JUAN CAPISTRANO,L03-455-3 (L03P37),LAGUNA NIGUEL,0,0,0,NA,99629956.0207097
SAN JUAN CAPISTRANO,L03-455-3 (L03P37),MISSION VIEJO,0,0,0,NA,31892100.351538483
SAN JUAN CAPISTRANO,L03-455-3 (L03P37),SAN JUAN CAPISTRANO,0,0,0,NA,17426169.430142604
LAGUNA NIGUEL,L03-455-6,LAGUNA NIGUEL,0,0,0,NA,99629956.0207097
LAGUNA NIGUEL,L03-455-6,MISSION VIEJO,0,0,0,NA,31892100.351538483
LAGUNA NIGUEL,L03-455-6,SAN JUAN CAPISTRANO,0,0,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L03-497-1,LAGUNA NIGUEL,0,0.77,0,NA,99629956.0207097
SAN JUAN CAPISTRANO,L03-497-1,SAN JUAN CAPISTRANO,0,0.77,0,NA,17426169.430142604
LAGUNA NIGUEL,L03-708-5,LAGUNA NIGUEL,0,0,0,NA,99629956.0207097
LAGUNA NIGUEL,L03-708-5,MISSION VIEJO,0,0,0,NA,31892100.351538483
MISSION VIEJO,L04-702-4,LAGUNA HILLS,0,0,0,NA,16673824.852583786
MISSION VIEJO,L04-702-4,MISSION VIEJO,0,0,0,NA,31892100.351538483
LAGUNA BEACH,LC02-11508-3,LAGUNA BEACH,0,0.385,0,NA,1899568.6488852124
LAGUNA BEACH,LC02-11508-3,ORANGE CO,0,0.385,0,NA,55316727.45998856
LAGUNA BEACH,LC05-11017-1,LAGUNA BEACH,0,0,0,NA,1899568.6488852124
SAN CLEMENTE,M00.1-070-4,SAN CLEMENTE,0,0.77,0,NA,23066632.703704353
SAN CLEMENTE,M00.1-070-6,SAN CLEMENTE,0,0.77,0,NA,23066632.703704353
ORANGE CO,M01-002-1,ORANGE CO,0,0.77,0,NA,55316727.45998856
ORANGE CO,M01-003-1,ORANGE CO,0,0.77,0,NA,55316727.45998856
ORANGE CO,M01-003-1,SAN JUAN CAPISTRANO,0,0.77,0,NA,17426169.430142604
ORANGE CO,M01-003-2,ORANGE CO,0,0.77,0,NA,55316727.45998856
ORANGE CO,M01-003-2,SAN JUAN CAPISTRANO,0,0.77,0,NA,17426169.430142604
SAN CLEMENTE,M01-050-7,SAN CLEMENTE,0,0.5,0,NA,23066632.703704353
DANA POINT,M01-168-1d (M00P03),DANA POINT,0,0.77,0,NA,4041123.28077577
SAN CLEMENTE,M02-061-5,SAN CLEMENTE,0,0.385,0,NA,23066632.703704353
SAN CLEMENTE,SC03-067-1,SAN CLEMENTE,0,0,0,NA,23066632.703704353
SAN CLEMENTE,SC05-073-1,SAN CLEMENTE,0,0,0,NA,23066632.703704353
SAN CLEMENTE,SC07-079-5,SAN CLEMENTE,0,0.59,0,NA,23066632.703704353
DANA POINT,SC11-035-1d,DANA POINT,0,0.385,0,NA,4041123.28077577
DANA POINT,SC11-035-2d,DANA POINT,0,0.385,0,NA,4041123.28077577
DANA POINT,SC11-035-3d,DANA POINT,0,0.385,0,NA,4041123.28077577
DANA POINT,SC11-130-2,DANA POINT,0,0.385,0,NA,4041123.28077577
SAN CLEMENTE,SC12-068-4,SAN CLEMENTE,0,0.385,0,NA,23066632.703704353
