Jurisdiction,Facility Identifier,JURISDICTI3,AnnualCF,avgCnx,Qadj_Qall,QJur_S,QJur_US
LAGUNA BEACH,I00-11518-2,LAGUNA BEACH,80142.94806377693,0.5,40071.474031888465,NA,1899568.6488852124
LAGUNA BEACH,I00-11518-2,ORANGE CO,2270.2103353989364,0.5,1135.1051676994682,NA,55316727.45998856
LAGUNA BEACH,I01-11023-2,LAGUNA BEACH,111.601152,1,111.601152,NA,1899568.6488852124
LAGUNA BEACH,I01-11059-1,LAGUNA BEACH,257541.11938190123,0.5,128770.55969095061,NA,1899568.6488852124
ALISO VIEJO,I01-11195-2,ALISO VIEJO,3774405.4961861335,0.77,2906292.232063323,NA,7421844.377621106
ALISO VIEJO,I01-11195-2,LAGUNA BEACH,504050.8374767096,0.77,388119.1448570664,NA,1899568.6488852124
ALISO VIEJO,I01-11195-2,LAGUNA WOODS,1308949.7732405276,0.77,1007891.3253952062,NA,2554759.0466204807
ALISO VIEJO,I01-11216-1 (I02P13),ALISO VIEJO,247914.38865136803,0.885,219404.2339564607,NA,7421844.377621106
ALISO VIEJO,I01-11216-1 (I02P13),LAGUNA WOODS,557020.160500007,0.885,492962.8420425062,NA,2554759.0466204807
ALISO VIEJO,I01-11216-2 (I02P12),ALISO VIEJO,247914.38865136803,0.5,123957.19432568402,NA,7421844.377621106
ALISO VIEJO,I01-11216-2 (I02P12),LAGUNA WOODS,557020.160500007,0.5,278510.0802500035,NA,2554759.0466204807
ALISO VIEJO,I01-11216-3,ALISO VIEJO,247914.38865136803,0.77,190894.0792615534,NA,7421844.377621106
ALISO VIEJO,I01-11216-3,LAGUNA WOODS,557020.160500007,0.77,428905.5235850054,NA,2554759.0466204807
ALISO VIEJO,I01-11216-4 (I02P14),ALISO VIEJO,247914.38865136803,0,0,NA,7421844.377621106
ALISO VIEJO,I01-11217-1,ALISO VIEJO,31145.663807999994,0,0,NA,7421844.377621106
LAGUNA BEACH,I01-11487-2,LAGUNA BEACH,103016.44810301643,0.25,25754.112025754108,NA,1899568.6488852124
ALISO VIEJO,I01-11502-1,LAGUNA BEACH,144505.47895454898,0.635,91760.9791361386,NA,1899568.6488852124
ALISO VIEJO,I01-11502-1,LAGUNA WOODS,545652.4021224559,0.635,346489.2753477594,NA,2554759.0466204807
ALISO VIEJO,I01-11503-5,LAGUNA BEACH,144505.47895454898,0.5,72252.73947727449,NA,1899568.6488852124
LAKE FOREST,J01-10004-2,LAKE FOREST,13215.436415999997,0.77,10175.886040319998,NA,6821314.153797195
ALISO VIEJO,J01-10017-1 (J01TBN4),ALISO VIEJO,892684.7999999999,0,0,NA,7421844.377621106
ALISO VIEJO,J01-10019-1 (J01P33),ALISO VIEJO,421545.60000000003,0.77,324590.1120000001,NA,7421844.377621106
LAGUNA NIGUEL,J01-10041-2 (J03P13),LAGUNA HILLS,4066.3488855495234,0.77,3131.0886418731334,NA,16673824.852583786
LAGUNA NIGUEL,J01-10041-2 (J03P13),LAGUNA NIGUEL,41957698.701059595,0.77,32307427.99981589,NA,99629956.0207097
LAGUNA NIGUEL,J01-9005-1 (J03P05),LAGUNA NIGUEL,1562198.4000000001,1,1562198.4000000001,NA,99629956.0207097
LAGUNA NIGUEL,J01-9005-3,LAGUNA HILLS,286384.2905483643,1,286384.2905483643,NA,16673824.852583786
LAGUNA NIGUEL,J01-9005-3,LAGUNA NIGUEL,20394146.852373373,1,20394146.852373373,NA,99629956.0207097
ALISO VIEJO,J01-9008-1 (J01P30),ALISO VIEJO,1264636.7999999998,0.7,885245.7599999998,NA,7421844.377621106
LAKE FOREST,J01-9040-1,LAKE FOREST,684244.9089875831,0.75,513183.68174068735,NA,6821314.153797195
LAKE FOREST,J01-9040-1,ORANGE CO,146.7718747504128,0.75,110.07890606280961,NA,55316727.45998856
LAKE FOREST,J01-9046-1,LAKE FOREST,76204.8,0.5,38102.4,NA,6821314.153797195
LAKE FOREST,J01-9046-3,LAKE FOREST,87512.830272,0.77,67384.87930944,NA,6821314.153797195
