Facility Identifier,JURISDICTI3,Qadj_Qall,QJur_US,QJur_S
L01-404-2,ORANGE CO,2088147.5999999996,55316727.45998856,NA
L01-414-1,ORANGE CO,51930.162180849205,55316727.45998856,NA
L01-414-3,ORANGE CO,3415574.842857974,55316727.45998856,NA
L01-458-1,ORANGE CO,3606.7024223999997,55316727.45998856,NA
L01-471-1,ORANGE CO,102709.7085168,55316727.45998856,NA
L01-494-1,ORANGE CO,909903.456,55316727.45998856,NA
L01-514-1,ORANGE CO,38719.296,55316727.45998856,NA
L01-517-3,ORANGE CO,19307.69222386725,55316727.45998856,NA
L01-517-3,SAN JUAN CAPISTRANO,2920.281221589951,17426169.430142604,NA
L01-517-6,ORANGE CO,215046.96998399997,55316727.45998856,NA
L01-602-2,SAN JUAN CAPISTRANO,65757.13686200287,17426169.430142604,NA
L01-618-1,SAN JUAN CAPISTRANO,75427.20000000001,17426169.430142604,NA
L01-618-2,SAN JUAN CAPISTRANO,131514.27372400573,17426169.430142604,NA
L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1503515.5200000003,17426169.430142604,NA
L01-727-1 (L01S04),DANA POINT,0,4041123.28077577,NA
L01-727-1 (L01S04),LAGUNA NIGUEL,0,99629956.0207097,NA
L01-728-2,DANA POINT,4113.921353139212,4041123.28077577,NA
L01-728-3 (L01S02),DANA POINT,74058.27427538221,4041123.28077577,NA
L01-728-3 (L01S02),SAN CLEMENTE,1727.2525514696497,23066632.703704353,NA
L01-728-3 (L01S02),SAN JUAN CAPISTRANO,773100.0289367477,17426169.430142604,NA
L01-728-4,DANA POINT,97041.73248,4041123.28077577,NA
L01-730-1,ORANGE CO,38427.26838506961,55316727.45998856,NA
L01-730-1,RANCHO SANTA MARGARITA,261327.71151347746,33350804.219124522,NA
L01-733-2,ORANGE CO,1192660.0305907305,55316727.45998856,NA
L01-733-2,RANCHO SANTA MARGARITA,10632.53985125553,33350804.219124522,NA
L01-733-7,ORANGE CO,658700.2217876278,55316727.45998856,NA
L01-733-7,RANCHO SANTA MARGARITA,1582.89681935814,33350804.219124522,NA
L01-747-1,SAN JUAN CAPISTRANO,601117.0704,17426169.430142604,NA
