Facility Identifier,JURISDICTI3,Qadj_Qall,QJur_US,QJur_S
M02-013-1,SAN CLEMENTE,308858.3956225567,23066632.703704353,NA
M02-015-1,SAN CLEMENTE,262608.43950000004,23066632.703704353,NA
M02-028-2 (M02P08),ORANGE CO,612.5653323009896,55316727.45998856,NA
M02-028-2 (M02P08),SAN CLEMENTE,524167.8415249819,23066632.703704353,NA
M02-052-3,SAN CLEMENTE,3658312.319999999,23066632.703704353,NA
M02-052-4,SAN CLEMENTE,725000.9664959998,23066632.703704353,NA
M02-061-4 (SCBS@M02),SAN CLEMENTE,879660.92016,23066632.703704353,NA
M02-061-6,SAN CLEMENTE,25142.4,23066632.703704353,NA
M02-086-1,SAN CLEMENTE,4955.876291519999,23066632.703704353,NA
M02-102-1,ORANGE CO,22573.88506841647,55316727.45998856,NA
M02-102-1,SAN CLEMENTE,565185.0282644816,23066632.703704353,NA
SC01-077-1,SAN CLEMENTE,910892.7340128,23066632.703704353,NA
SC01-077-2,SAN CLEMENTE,351993.6,23066632.703704353,NA
SC02-072-4,SAN CLEMENTE,308858.3956225567,23066632.703704353,NA
SC05-073-3,SAN CLEMENTE,0,23066632.703704353,NA
SC06-146-1 (M00P02),SAN CLEMENTE,343790.39087095193,23066632.703704353,NA
SC06-146-2 (M00P02),SAN CLEMENTE,545619.7996429414,23066632.703704353,NA
SC07-079-4,SAN CLEMENTE,0,23066632.703704353,NA
SC09-081-2d,SAN CLEMENTE,0,23066632.703704353,NA
SC10-075-1d (M00P05),DANA POINT,167116.52437688655,4041123.28077577,NA
SC10-075-1d (M00P05),SAN CLEMENTE,6114.485905916491,23066632.703704353,NA
SC10-075-3 (M00S01),DANA POINT,2404465.084618972,4041123.28077577,NA
SC10-075-3 (M00S01),SAN CLEMENTE,2404471.478581027,23066632.703704353,NA
SC11-026-1 (M00P01),DANA POINT,657548.5424960651,4041123.28077577,NA
SC11-026-1 (M00P01),SAN CLEMENTE,307377.97076046525,23066632.703704353,NA
SC11-026-1 (M00P01),SAN JUAN CAPISTRANO,15627.085792332771,17426169.430142604,NA
SC12-068-2,SAN CLEMENTE,0,23066632.703704353,NA
SM01-086-1 (M03P01),ORANGE CO,54163.717543466366,55316727.45998856,NA
SM01-086-1 (M03P01),SAN CLEMENTE,308858.3956225567,23066632.703704353,NA
SM01-086-2,ORANGE CO,25162.22582922796,55316727.45998856,NA
SM01-086-2,SAN CLEMENTE,242000.91656008552,23066632.703704353,NA
DP01-12022-1,DANA POINT,0,4041123.28077577,NA
DP01-12022-2,DANA POINT,0,4041123.28077577,NA
I01-11015-2,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11015-2,ORANGE CO,0,55316727.45998856,NA
I01-11015-3,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11015-3,ORANGE CO,0,55316727.45998856,NA
I01-11023-3,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11023-3,ORANGE CO,0,55316727.45998856,NA
I01-11023-4,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11023-5,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11023-5,ORANGE CO,0,55316727.45998856,NA
I01-11059-2,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11059-3,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11065-1,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11077-1,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11077-1,ORANGE CO,0,55316727.45998856,NA
I01-11077-2,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11077-2,ORANGE CO,0,55316727.45998856,NA
I01-11093-1,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11093-1,ORANGE CO,0,55316727.45998856,NA
I01-11093-2,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11093-2,ORANGE CO,0,55316727.45998856,NA
I01-11487-1,ALISO VIEJO,0,7421844.377621106,NA
I01-11487-1,LAGUNA BEACH,0,1899568.6488852124,NA
I01-11487-1,LAGUNA WOODS,0,2554759.0466204807,NA
I01-11487-1,ORANGE CO,0,55316727.45998856,NA
I01-11503-3,ALISO VIEJO,0,7421844.377621106,NA
J01-10006-1,LAKE FOREST,0,6821314.153797195,NA
J01-10012-3,MISSION VIEJO,0,31892100.351538483,NA
J01-10012-3,ORANGE CO,0,55316727.45998856,NA
J01-10012-3,RANCHO SANTA MARGARITA,0,33350804.219124522,NA
J01-9033-1,LAKE FOREST,0,6821314.153797195,NA
J01-9033-1,ORANGE CO,0,55316727.45998856,NA
J01-9046-2,LAKE FOREST,0,6821314.153797195,NA
J01-9046-2,MISSION VIEJO,0,31892100.351538483,NA
J01-9082-3,ALISO VIEJO,0,7421844.377621106,NA
J01-9082-3,ORANGE CO,0,55316727.45998856,NA
J01-9275-1,LAKE FOREST,0,6821314.153797195,NA
J01-9275-1,MISSION VIEJO,0,31892100.351538483,NA
J01-9275-2,LAKE FOREST,0,6821314.153797195,NA
J01-9275-2,MISSION VIEJO,0,31892100.351538483,NA
J01-9364-3 (J01P21),ALISO VIEJO,0,7421844.377621106,NA
J01-9364-3 (J01P21),LAGUNA NIGUEL,0,99629956.0207097,NA
J01-9364-3 (J01P21),ORANGE CO,0,55316727.45998856,NA
J01-9364-4,ALISO VIEJO,0,7421844.377621106,NA
J01-9364-4,ORANGE CO,0,55316727.45998856,NA
J01-9377-2 (J01TBN8),LAKE FOREST,0,6821314.153797195,NA
J01-9377-2 (J01TBN8),MISSION VIEJO,0,31892100.351538483,NA
J05-9255-1 (J05P01),LAGUNA HILLS,0,16673824.852583786,NA
J05-9271-6,LAGUNA HILLS,0,16673824.852583786,NA
J05-9800-2,LAGUNA HILLS,0,16673824.852583786,NA
J07-9110-3,MISSION VIEJO,0,31892100.351538483,NA
K01-12156-3,LAGUNA NIGUEL,0,99629956.0207097,NA
L01-303-4,ORANGE CO,0,55316727.45998856,NA
L01-303-4,RANCHO SANTA MARGARITA,0,33350804.219124522,NA
L01-391-1,ORANGE CO,0,55316727.45998856,NA
L01-399-1,ORANGE CO,0,55316727.45998856,NA
L01-414-2,ORANGE CO,0,55316727.45998856,NA
L01-517-1,ORANGE CO,0,55316727.45998856,NA
L01-517-1,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-517-2,ORANGE CO,0,55316727.45998856,NA
L01-517-2,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-517-7,ORANGE CO,0,55316727.45998856,NA
L01-517-8,ORANGE CO,0,55316727.45998856,NA
L01-517-8,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-556-1,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-601-1,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-618-3,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-618-4,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-724-2,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-726-2,DANA POINT,0,4041123.28077577,NA
L01-726-3,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-726-6,DANA POINT,0,4041123.28077577,NA
L01-726-6,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-726-7,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-726-8,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-726-9,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-727-2,DANA POINT,0,4041123.28077577,NA
L01-727-3,DANA POINT,0,4041123.28077577,NA
L01-728-6,DANA POINT,0,4041123.28077577,NA
L01-728-8d,DANA POINT,0,4041123.28077577,NA
L01-728-9,DANA POINT,0,4041123.28077577,NA
L01-733-4,ORANGE CO,0,55316727.45998856,NA
L01-733-5,ORANGE CO,0,55316727.45998856,NA
L01-748-1,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-748-2,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-749-3,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-766-5,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L01-766-8,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L02-344-1,ORANGE CO,0,55316727.45998856,NA
L02-344-1,RANCHO SANTA MARGARITA,0,33350804.219124522,NA
L02-374-2 (MVL02P20),MISSION VIEJO,0,31892100.351538483,NA
L02-401-1,MISSION VIEJO,0,31892100.351538483,NA
L02-401-1,ORANGE CO,0,55316727.45998856,NA
L02-502-5,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L02-541-2,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L02-541-7,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L02-571-1,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L02-622-1 (L02P28),RANCHO SANTA MARGARITA,0,33350804.219124522,NA
L03-455-3 (L03P37),LAGUNA NIGUEL,0,99629956.0207097,NA
L03-455-3 (L03P37),MISSION VIEJO,0,31892100.351538483,NA
L03-455-3 (L03P37),SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L03-455-6,LAGUNA NIGUEL,0,99629956.0207097,NA
L03-455-6,MISSION VIEJO,0,31892100.351538483,NA
L03-455-6,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L03-497-1,LAGUNA NIGUEL,0,99629956.0207097,NA
L03-497-1,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
L03-708-5,LAGUNA NIGUEL,0,99629956.0207097,NA
L03-708-5,MISSION VIEJO,0,31892100.351538483,NA
L04-702-4,LAGUNA HILLS,0,16673824.852583786,NA
L04-702-4,MISSION VIEJO,0,31892100.351538483,NA
LC02-11508-3,LAGUNA BEACH,0,1899568.6488852124,NA
LC02-11508-3,ORANGE CO,0,55316727.45998856,NA
LC05-11017-1,LAGUNA BEACH,0,1899568.6488852124,NA
M00.1-070-4,SAN CLEMENTE,0,23066632.703704353,NA
M00.1-070-6,SAN CLEMENTE,0,23066632.703704353,NA
M01-002-1,ORANGE CO,0,55316727.45998856,NA
M01-003-1,ORANGE CO,0,55316727.45998856,NA
M01-003-1,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
M01-003-2,ORANGE CO,0,55316727.45998856,NA
M01-003-2,SAN JUAN CAPISTRANO,0,17426169.430142604,NA
M01-050-7,SAN CLEMENTE,0,23066632.703704353,NA
M01-168-1d (M00P03),DANA POINT,0,4041123.28077577,NA
M02-061-5,SAN CLEMENTE,0,23066632.703704353,NA
SC03-067-1,SAN CLEMENTE,0,23066632.703704353,NA
SC05-073-1,SAN CLEMENTE,0,23066632.703704353,NA
SC07-079-5,SAN CLEMENTE,0,23066632.703704353,NA
SC11-035-1d,DANA POINT,0,4041123.28077577,NA
SC11-035-2d,DANA POINT,0,4041123.28077577,NA
SC11-035-3d,DANA POINT,0,4041123.28077577,NA
SC11-130-2,DANA POINT,0,4041123.28077577,NA
SC12-068-4,SAN CLEMENTE,0,23066632.703704353,NA
