JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
LAGUNA NIGUEL,99629956.0207097,Total,"4,4'-DDD",1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,"4,4'-DDE",1.13,ng/L,112581850.30340195,0.007028249481188759
LAGUNA NIGUEL,99629956.0207097,Total,"4,4'-DDT",1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,Acenaphthene,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Acenaphthylene,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Aldrin,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,BHC-alpha,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,alpha Chlordane,1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,"Ammonia, as Nitrogen",0.13653846153846153,mg/L,13603320.918212283,849.226877407083
LAGUNA NIGUEL,99629956.0207097,Total,Anthracene,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,"Arsenic, Total",2.85,ug/L,283945374.6590226,17.726115948130946
LAGUNA NIGUEL,99629956.0207097,Dissolved,"Arsenic, Total",2.85,ug/L,283945374.6590226,17.726115948130946
LAGUNA NIGUEL,99629956.0207097,Total,Azinphos Methyl,5,ng/L,498149780.10354847,0.031098449031808677
LAGUNA NIGUEL,99629956.0207097,Total,Benz[a]anthracene,4.322222222222222,ng/L,430622809.9117341,0.02688288149638572
LAGUNA NIGUEL,99629956.0207097,Total,Benzo[a]pyrene,3.7,ng/L,368630837.2766259,0.023012852283538422
LAGUNA NIGUEL,99629956.0207097,Total,Benzo[b]fluoranthene,5.211111111111111,ng/L,519182770.81903166,0.03241149465759615
LAGUNA NIGUEL,99629956.0207097,Total,"Benzo(g,h,i)perylene",7.89,ng/L,786080353.0033995,0.049073352572194084
LAGUNA NIGUEL,99629956.0207097,Total,Benzo(k)fluoranthene,4.644444444444445,ng/L,462725795.7406295,0.028887003767324507
LAGUNA NIGUEL,99629956.0207097,Total,BHC-beta,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Biphenyl,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Bolstar (Sulprofos),2,ng/L,199259912.0414194,0.01243937961272347
LAGUNA NIGUEL,99629956.0207097,Total,Cadmium,2.4355882352941176,ug/L,242657548.76691088,15.148603319553393
LAGUNA NIGUEL,99629956.0207097,Dissolved,Cadmium,2.4355882352941176,ug/L,242657548.76691088,15.148603319553393
LAGUNA NIGUEL,99629956.0207097,Total,Calcium,249.5875,ug/L,24866391648.318882,1552.3568295453097
LAGUNA NIGUEL,99629956.0207097,Total,Chloride,506.25,mg/L,50437665235.48428,3148717.9644706286
LAGUNA NIGUEL,99629956.0207097,Total,Chlorpyrifos,0.5,ng/L,49814978.01035485,0.0031098449031808674
LAGUNA NIGUEL,99629956.0207097,Total,Chromium,0.3868421052631579,ug/L,38541061.93432717,2.406037898776776
LAGUNA NIGUEL,99629956.0207097,Dissolved,Chromium,0.3868421052631579,ug/L,38541061.93432717,2.406037898776776
LAGUNA NIGUEL,99629956.0207097,Total,Chrysene,4.4375,ng/L,442107929.8418993,0.0275998735157302
LAGUNA NIGUEL,99629956.0207097,Total,Copper,5.13125,ug/L,511226211.8312666,31.91478331889365
LAGUNA NIGUEL,99629956.0207097,Dissolved,Copper,5.13125,ug/L,511226211.8312666,31.91478331889365
LAGUNA NIGUEL,99629956.0207097,Total,delta BHC,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Demeton,1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,Diazinon,0.5,ng/L,49814978.01035485,0.0031098449031808674
LAGUNA NIGUEL,99629956.0207097,Total,"Dibenz(a,h)anthracene",2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Dibenzothiophene,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Dichlorvos,3,ng/L,298889868.0621291,0.018659069419085204
LAGUNA NIGUEL,99629956.0207097,Total,Dieldrin,1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,Dimethoate,5,ng/L,498149780.10354847,0.031098449031808677
LAGUNA NIGUEL,99629956.0207097,Total,Disulfoton,1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,DOC,5.625,ng/L,560418502.616492,0.03498575516078476
LAGUNA NIGUEL,99629956.0207097,Total,E. coli,425.4166666666667,CFU/100 mL,42384243790.47692,12001861545661.77
LAGUNA NIGUEL,99629956.0207097,Total,Endosulfan I,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Endosulfan II,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Endosulfan sulfate,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Endrin,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Endrin aldehyde,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Enterococcus,2162.0833333333335,CFU/100 mL,215408267413.10944,60996728266835.375
LAGUNA NIGUEL,99629956.0207097,Total,Ethoprop,1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,Ethyl parathion,10,ng/L,996299560.2070969,0.062196898063617355
LAGUNA NIGUEL,99629956.0207097,Total,Fecal coliforms,739.5454545454545,CFU/100 mL,73680881111.6794,20864067742632.03
LAGUNA NIGUEL,99629956.0207097,Total,Fenchlorophos,2,ng/L,199259912.0414194,0.01243937961272347
LAGUNA NIGUEL,99629956.0207097,Total,Fensulfothion,1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,Fenthion,2,ng/L,199259912.0414194,0.01243937961272347
LAGUNA NIGUEL,99629956.0207097,Total,Fluoranthene,7.944444444444445,ng/L,791504650.6089715,0.04941198012831823
LAGUNA NIGUEL,99629956.0207097,Total,Fluorene,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,gamma BHC,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,gamma Chlordane,1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,Hardness,1206.75,NA,120228449427.99142,NA
LAGUNA NIGUEL,99629956.0207097,Total,Heptachlor,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Heptachlor epoxide,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Hexavalent chromium,0.16776190476190475,ug/L,16714111.193379058,1.0434270089434472
LAGUNA NIGUEL,99629956.0207097,Dissolved,Hexavalent chromium,0.16776190476190475,ug/L,16714111.193379058,1.0434270089434472
LAGUNA NIGUEL,99629956.0207097,Total,"Indeno(1,2,3-cd)pyrene",5.213,ng/L,519370960.73595965,0.03242324296056373
LAGUNA NIGUEL,99629956.0207097,Total,Iron,92.77777777777777,ug/L,9243445919.699177,577.0489987013387
LAGUNA NIGUEL,99629956.0207097,Dissolved,Iron,92.77777777777777,ug/L,9243445919.699177,577.0489987013387
LAGUNA NIGUEL,99629956.0207097,Total,Lead,0.20722222222222222,ug/L,20645540.886513732,1.2888579432071818
LAGUNA NIGUEL,99629956.0207097,Dissolved,Lead,0.20722222222222222,ug/L,20645540.886513732,1.2888579432071818
LAGUNA NIGUEL,99629956.0207097,Total,Magnesium,141.625,mg/L,14110092521.43301,880863.5688259808
LAGUNA NIGUEL,99629956.0207097,Total,Malathion,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Manganese,264.646875,ug/L,26366756517.268257,1646.0214707229886
