FACILITYID,LSPC_LU_EDIT,Shape_Area,AREA,PERCENTAGE
I01-11217-1,OSDEV,256191.7637,5.881377146,16.49085955
I01-11217-1,OSIRR,549878.5545,12.62352512,35.39524409
I01-11217-1,OSLOW,113009.1578,2.59434366,7.274309376
I01-11217-1,RESSFH,83281.91116,1.911897252,5.360790213
I01-11217-1,TRANS,64394.01862,1.478289169,4.144991631
I01-11217-1,UTIL,52597.52889,1.207477945,3.385660994
I01-11343-1,OSDEV,78878.00847,1.810797153,5.431168951
I01-11343-1,OSIRR,226436.3777,5.198284745,15.59134476
I01-11343-1,RESMF,1053539.642,24.18603894,72.54178831
I01-11343-1,TRANS,93466.99489,2.145715536,6.43569799
I01-11343-2 (I02P18),OSDEV,47549.94816,1.091600972,2.331928512
I01-11343-2 (I02P18),RESMF,1790988.615,41.11560558,87.83305929
I01-11343-2 (I02P18),TRANS,200544.027,4.603875784,9.835012497
I01-11487-1,COMM,3247829.307,74.56019968,1.329953387
I01-11487-1,EDU,378900.9304,8.69840326,0.155156115
I01-11487-1,IND,1457328.395,33.45579028,0.596761299
I01-11487-1,OSAGIR,2441406.494,56.04720522,0.999731368
I01-11487-1,OSDEV,12315678.73,282.730211,5.043146389
I01-11487-1,OSFOR,796697.9484,18.2897414,0.326239785
I01-11487-1,OSIRR,10441459.63,239.7038889,4.275672548
I01-11487-1,OSLOW,154763341.7,3552.891662,63.37402958
I01-11487-1,OSVAC,23352.43303,0.53610024,0.009562586
I01-11487-1,OSWET,2685148.376,61.64277128,1.099541214
I01-11487-1,RESMF,8918296.974,204.7367458,3.651952781
I01-11487-1,RESSFH,23973653.05,550.3615461,9.816969449
I01-11487-1,RESSFL,12639.7108,0.290168994,0.005175834
I01-11487-1,TRANS,11403792.88,261.7961086,4.669738317
I01-11487-1,TRFWY,10387445.96,238.4639007,4.253554494
I01-11487-1,TROTH,2755.952984,0.063268228,0.001128535
I01-11487-1,UTIL,309119.4503,7.096434498,0.126581301
I01-11487-1,WATER,67807.62921,1.556655198,0.027766541
I01-11487-2,COMM,547987.1986,12.58010539,9.337628086
I01-11487-2,EDU,170844.508,3.922065917,2.911167414
I01-11487-2,OSAGIR,356.8568715,0.008192339,0.006080793
I01-11487-2,OSDEV,206595.4396,4.742797658,3.520358475
I01-11487-2,OSLOW,277057.0167,6.360379359,4.721014262
I01-11487-2,OSWET,112.5327869,0.002583408,0.001917544
I01-11487-2,RESMF,212869.0002,4.886819368,3.627259104
I01-11487-2,RESSFH,3165315.311,72.6659314,53.93654673
I01-11487-2,TRANS,1287453.113,29.55597482,21.93802771
I01-11502-1,OSDEV,26837.0848,0.616097157,2.376454869
I01-11502-1,OSIRR,61543.33337,1.412846179,5.449733282
I01-11502-1,OSLOW,106679.0194,2.449023096,9.44655043
I01-11502-1,RESMF,917231.4317,21.05682049,81.22190313
I01-11502-1,TRANS,16999.78897,0.390263016,1.505350957
I01-11502-2,OSDEV,97973.41331,2.249169082,19.39207704
I01-11502-2,OSIRR,265989.9186,6.10631273,52.64792578
I01-11502-2,OSLOW,61925.09886,1.421610344,12.25696081
I01-11502-2,RESMF,4275.615578,0.09815502,0.846281291
I01-11502-2,TRANS,72341.06908,1.660729073,14.31861499
I01-11502-2,TROTH,2718.832394,0.062416053,0.538144028
I01-11503-1,OSDEV,4860.813165,0.111589362,4.780698469
I01-11503-1,TRANS,96814.9966,2.222575387,95.21931626
I01-11503-2,OSDEV,7264.199139,0.166763733,22.73334934
I01-11503-2,RESSFH,1528.43481,0.035088175,4.783244762
I01-11503-2,TRANS,23161.30032,0.531712419,72.48341094
I01-11503-3,OSDEV,402006.8849,9.228845109,10.14376748
I01-11503-3,OSIRR,1780958.872,40.88535343,44.93861516
I01-11503-3,OSLOW,130436.154,2.994414043,3.291272034
I01-11503-3,RESSFH,948151.8027,21.76665738,23.92454405
I01-11503-3,TRANS,541594.6552,12.4333522,13.66596061
I01-11503-3,TRFWY,159944.0041,3.671823779,4.035838312
I01-11503-5,OSDEV,62487.6531,1.434519125,5.297582768
I01-11503-5,OSLOW,42.37750421,0.000972854,0.003592683
I01-11503-5,RESMF,1083816.336,24.88099945,91.88385963
I01-11503-5,TRANS,33203.92698,0.762257277,2.814964919
J01-10004-1 (J01P01),COMM,368722.317,8.464733516,1.76389705
J01-10004-1 (J01P01),EDU,437437.6039,10.04222575,2.092617841
J01-10004-1 (J01P01),OSAGIR,48033.93865,1.10271191,0.229785176
J01-10004-1 (J01P01),OSDEV,4382483.506,100.6083801,20.96496298
J01-10004-1 (J01P01),OSFOR,12713.35615,0.291859665,0.060818264
J01-10004-1 (J01P01),OSIRR,1036977.392,23.80582048,4.960701531
J01-10004-1 (J01P01),OSLOW,557245.9171,12.79265716,2.665757899
J01-10004-1 (J01P01),RESMF,5714100.698,131.1782267,27.33516497
J01-10004-1 (J01P01),RESSFH,5020162.906,115.2475433,24.01549928
J01-10004-1 (J01P01),RESSFL,1280.858701,0.029404587,0.006127383
J01-10004-1 (J01P01),TRANS,3169502.367,72.76205339,15.16229319
J01-10004-1 (J01P01),UTIL,155184.9984,3.562571606,0.742375355
J01-10004-2,OSDEV,25574.57612,0.58711383,4.991531369
J01-10004-2,OSIRR,2559.77747,0.05876464,0.499605916
J01-10004-2,RESSFH,353036.2761,8.104630124,68.90404118
J01-10004-2,TRANS,131188.6002,3.0116879,25.60480416
J01-10006-1,OSDEV,25120.84075,0.576697457,2.485432122
J01-10006-1,OSIRR,13651.14901,0.313388513,1.350631716
J01-10006-1,RESSFH,674648.8918,15.48786938,66.74912051
J01-10006-1,TRANS,297302.363,6.825150418,29.41481339
J01-10012-3,OSDEV,56904.64078,1.306356024,4.194274185
J01-10012-3,OSLOW,431530.0257,9.906605872,31.80681262
J01-10012-3,RESSFH,762556.1698,17.50595087,56.20577889
J01-10012-3,TRANS,105731.195,2.427263957,7.793136302
J01-10017-1 (J01TBN4),EDU,277599.8652,6.372841497,36.57805302
J01-10017-1 (J01TBN4),OSDEV,161296.1533,3.70286498,21.25324969
J01-10017-1 (J01TBN4),OSIRR,273238.3201,6.272713798,36.00335235
J01-10017-1 (J01TBN4),RESMF,6094.229623,0.139904821,0.80300851
J01-10017-1 (J01TBN4),TRANS,40696.10812,0.934257826,5.362338341
J01-10018-1 (J01TBN5),EDU,2480.926172,0.056954456,1.760977346
J01-10018-1 (J01TBN5),OSAGIR,5887.129161,0.13515043,4.178722123
J01-10018-1 (J01TBN5),OSDEV,95904.16284,2.201665438,68.0733913
J01-10018-1 (J01TBN5),OSIRR,2022.868492,0.046438856,1.435845059
J01-10018-1 (J01TBN5),RESMF,49.37168166,0.001133422,0.035044337
J01-10018-1 (J01TBN5),TRANS,34539.0189,0.792909942,24.51601764
J01-10019-1 (J01P33),EDU,752541.249,17.27603901,23.68555737
J01-10019-1 (J01P33),OSAGIR,873.9684873,0.020063636,0.02750737
J01-10019-1 (J01P33),OSDEV,266296.2355,6.113344827,8.381433937
J01-10019-1 (J01P33),OSIRR,19886.91791,0.456542641,0.625922813
J01-10019-1 (J01P33),RESMF,1883455.635,43.23836475,59.2800681
J01-10019-1 (J01P33),TRANS,254161.7976,5.83477535,7.999513445
J01-10041-2 (J03P13),COMM,226563.0577,5.201192928,1.388115047
J01-10041-2 (J03P13),EDU,368138.074,8.451321088,2.255522172
J01-10041-2 (J03P13),OSDEV,4151977.642,95.3166724,25.43849248
J01-10041-2 (J03P13),OSIRR,355199.7537,8.154296936,2.176251185
J01-10041-2 (J03P13),OSLOW,25653.4453,0.588924424,0.157174492
J01-10041-2 (J03P13),RESMF,4612.558307,0.105890192,0.028260395
J01-10041-2 (J03P13),RESSFH,8772861.953,201.3980038,53.74989994
J01-10041-2 (J03P13),TRANS,2229412.23,51.18046712,13.65924654
J01-10041-2 (J03P13),TRFWY,111413.93,2.557722122,0.682615048
J01-10041-2 (J03P13),UTIL,75801.26278,1.740164508,0.464422022
J01-9005-1 (J03P05),OSDEV,1526412.895,35.04175851,27.42124302
J01-9005-1 (J03P05),OSLOW,16.27346337,0.000373589,0.000292345
J01-9005-1 (J03P05),RESMF,57521.7649,1.320523301,1.033349692
J01-9005-1 (J03P05),RESSFH,2810407.079,64.51832693,50.48755535
J01-9005-1 (J03P05),TRANS,1172176.214,26.90957077,21.0575585
J01-9005-3,OSDEV,2623979.151,60.23851348,29.83717366
J01-9005-3,OSLOW,9498.041207,0.218045895,0.108001889
J01-9005-3,RESMF,2562700.984,58.8317547,29.14038179
J01-9005-3,RESSFH,2271389.489,52.14413624,25.82788914
J01-9005-3,TRANS,1193793.203,27.40583055,13.57458008
J01-9005-3,TRFWY,132967.9788,3.052536976,1.511974161
J01-9005-6,COMM,132672.2897,3.045748862,51.13618195
J01-9005-6,OSDEV,66213.05855,1.520048747,25.52064954
J01-9005-6,RESSFH,374.4399796,0.008595994,0.144321252
J01-9005-6,TRANS,60189.12696,1.381757753,23.1988319
J01-9007-1 (J02P05),EDU,539908.1132,12.39463436,8.512055485
J01-9007-1 (J02P05),OSAGNI,34926.62482,0.801808185,0.55064438
J01-9007-1 (J02P05),OSDEV,1219304.019,27.99148062,19.22324041
J01-9007-1 (J02P05),OSLOW,78792.9065,1.808843473,1.242229142
J01-9007-1 (J02P05),OSVAC,32033.12697,0.735382349,0.505026221
J01-9007-1 (J02P05),RESMF,1442809.513,33.12248128,22.74697181
J01-9007-1 (J02P05),RESSFH,1958670.759,44.96507332,30.87991044
J01-9007-1 (J02P05),TRANS,1036419.206,23.79300623,16.33992446
J01-9008-1 (J01P30),COMM,984412.6118,22.59909434,10.68150072
J01-9008-1 (J01P30),EDU,170489.4687,3.913915304,1.849918785
J01-9008-1 (J01P30),OSDEV,1556062.811,35.72242965,16.88426768
J01-9008-1 (J01P30),OSIRR,83068.8995,1.907007158,0.901350206
J01-9008-1 (J01P30),OSLOW,16615.02864,0.381430099,0.180283591
J01-9008-1 (J01P30),OSVAC,11431.05353,0.26242193,0.124034175
J01-9008-1 (J01P30),RESMF,3349323.859,76.8902033,36.34228654
J01-9008-1 (J01P30),RESSFH,608654.5605,13.97284195,6.604287725
J01-9008-1 (J01P30),TRANS,1272808.465,29.21977861,13.8107785
J01-9008-1 (J01P30),TRFWY,1163184.722,26.70315368,12.62129141
J01-9031-1,COMM,1237763.413,28.41525169,9.504710127
J01-9031-1,EDU,483609.1689,11.10218327,3.713605459
J01-9031-1,IND,18159.96863,0.416897183,0.139449297
J01-9031-1,OSDEV,1572366.388,36.09670977,12.07410607
J01-9031-1,OSFOR,6098.593764,0.140005008,0.046830731
J01-9031-1,OSIRR,492207.8355,11.29958228,3.779634097
J01-9031-1,OSLOW,545541.7511,12.52396541,4.189181999
J01-9031-1,RESMF,1028505.342,23.61132819,7.897830103
J01-9031-1,RESSFH,5377099.137,123.4417044,41.29041794
