GlobalID,Facility Identifier,Facility Type,Inspection Status,Size 1,PRIORITY,Jurisdiction,Persistent Flow,AVGDISCHARGE,Accessibility,POINT_Y,POINT_X
{E885A8CA-0AA1-47CD-A582-4DCD7E616FC7},L02-344-2,Outfall,Verified,40,NA,Orange Co,Yes,0.408144,Easily accessible,33.5918873,-117.6285907
{5281A820-F1BE-47B1-99ED-ECE4A151A02B},L02-359-1 (L02P43),Outfall,Verified,45,Not A Priority,Orange Co,Yes,0.010162,Difficult accessibility,33.57846452,-117.6402224
{34BE191E-FD69-4347-A83F-3FDAA41E39CE},L02-366-1 (MVL02P14),Outfall,Verified,72,Not A Priority,Mission Viejo,Yes,0.039306,Difficult accessibility,33.57029009,-117.6510239
{5DF64E4A-01D2-4F6C-919E-DCBB0BDD3E55},L02-374-1 (L02P50),Outfall,Verified,102,Priority,Orange Co,Yes,0.240898,Easily accessible,33.56985025,-117.6460004
{B1A00FFE-8CDF-4358-8FDF-A6FA58C9C0BA},L02-374-2 (MVL02P20),Outfall,Verified,48,Not A Priority,Orange Co,Unknown,0.008624,Easily accessible,33.57276201,-117.6455771
{516167D7-3F5E-403F-A9CA-5AC1AB5EBF37},L02-396-1,Outfall,Verified,64,Priority,Mission Viejo,Yes,0.023463,Easily accessible,33.5634741,-117.65378
{14FA5899-75CF-4C8D-8DBB-69BF4CCF982A},L02-401-1,Outfall,Verified,60,Not A Priority,Orange Co,Yes,0,Easily accessible,33.56202516,-117.6523431
{6D0EBCA6-4D3F-4C1C-894E-0641CFB65C37},L02-401-2 (COL02P55),Outfall,Verified,42,Not A Priority,Orange Co,Yes,NA,Easily accessible,33.56248186,-117.6507242
{80AEE061-5CEE-4A9A-91C8-024626A1725A},L02-502-1,Box,Verified,NA,Not A Priority,San Juan Capistrano,Yes,0.025518,Unsafe accessibility,33.52457874,-117.6683539
{3912E472-E933-4D2C-AB01-D62EBFBB52E2},L02-502-5,Outfall,Verified,48,Not A Priority,San Juan Capistrano,Unknown,0,Difficult accessibility,33.52712556,-117.6698879
{C5BC5588-D77D-4EF7-9CE0-E8B1DCFE0385},L02-502-6,Outfall,Verified,48,Not A Priority,San Juan Capistrano,Unknown,NA,Unaccessible,33.53046313,-117.6692187
{80D3DC2F-82C1-41D7-B291-FBE03B0CC399},L02-541-2,Outfall,Verified,48,Not A Priority,San Juan Capistrano,Unknown,0,Easily accessible,33.49814985,-117.665777
{182F8328-651A-4982-91BA-8A69837B2509},L02-541-6,Outfall,Verified,48,Priority,San Juan Capistrano,Unknown,0.002973,Easily accessible,33.49977597,-117.6660928
{610DC3A7-793E-4344-A914-88E70E636144},L02-541-7,Outfall,Verified,36,Not A Priority,San Juan Capistrano,Unknown,0,Easily accessible,33.4999239,-117.6664665
{6FE5A355-7E45-4A1E-8A7B-8CD7AB8F0640},L02-541-9 (L02P02),Box,Verified,NA,Not A Priority,San Juan Capistrano,Yes,0.048641,Easily accessible,33.50398585,-117.6675055
{63E80B56-44CC-47BE-96A0-96E180F51F4A},L02-571-1,Outfall,Verified,48,Not A Priority,San Juan Capistrano,Unknown,0,Easily accessible,33.49086494,-117.6661083
{3871EFB2-8754-476F-9342-3419290C4138},L02-571-3,Outfall,Verified,42,Priority,San Juan Capistrano,Yes,0.007712,Easily accessible,33.4952933,-117.6657881
{84E0BC14-2EA7-43A4-9B95-F0347A2814D5},L02-571-5 (L02TBN2),Outfall,Verified,78,Not A Priority,San Juan Capistrano,Yes,0.053191,Easily accessible,33.4977193,-117.6660362
{A8A6C5E9-EB4C-4FB5-8B4D-A18B9FBF9A32},L02-622-1 (L02P28),Outfall,Verified,54,Not A Priority,Rancho Santa Margarita,Unknown,0.014251,Difficult accessibility,33.63591231,-117.6157628
{5F2234C7-A979-43B9-AF39-605D9C45E5BC},L02-622-2 (L02P32),Outfall,Verified,72,Not A Priority,Rancho Santa Margarita,Yes,0.100282,Difficult accessibility,33.6472417,-117.6024623
{8E259E70-CE94-4F00-A10B-A23719A46C04},L02-640-1 (L11P02),Outfall,Verified,90,Not A Priority,Rancho Santa Margarita,Unknown,0.163333,Unsafe accessibility,33.61878174,-117.6092256
{7DFD67EB-AD81-432B-9BA4-25696CAD78C5},L02-641-1,Outfall,Verified,96,Priority,Rancho Santa Margarita,Yes,0.049392,Easily accessible,33.63111175,-117.5948742
{940E7A8B-73AA-47EA-96AA-2A8B9F4D5926},L02-641-2,Outfall,Verified,96,Priority,Rancho Santa Margarita,Yes,0.331514,Easily accessible,33.63110985,-117.5948409
{49BB3F7E-1B73-4CC3-93B9-49EF1F708BBE},L03-074-1 (L03B01),Outfall,Verified,60,Priority,Mission Viejo,Yes,0.199451,Easily accessible,33.63831694,-117.6388327
{6A5E6BA4-3561-44F0-907D-3D9775BDE62E},L03-074-2,Outfall,Verified,42,Priority,Mission Viejo,Yes,0.029399,Easily accessible,33.63946665,-117.6417514
{14CC37CD-8D1D-4824-B51F-D5A645DF23CC},L03-141-1,Outfall,Verified,84,Priority,Mission Viejo,Yes,0.069135,Easily accessible,33.65655234,-117.6343801
{F5FE5213-7964-43D8-9FCF-D95DAD36D8E5},L03-141-2,Outfall,Verified,43,Priority,Mission Viejo,Yes,0.005866,Difficult accessibility,33.65656186,-117.6343822
{E9C93353-55FF-4789-80D4-68FBA02BD5E3},L03-141-3,Outfall,Verified,60,Priority,Mission Viejo,Yes,0.01245,Difficult accessibility,33.65655048,-117.6343664
{82E345FE-8901-4935-B75E-BDD689E85A6F},L03-142-1 (L03P24),Outfall,Verified,66,Not A Priority,Rancho Santa Margarita,Unknown,0.018174,Unaccessible,33.66841401,-117.6207927
{F5690724-C245-4E1E-8E50-C527FA115971},L03-172-2,Outfall,Verified,36,Not A Priority,Mission Viejo,Yes,0.017881,Easily accessible,33.65145331,-117.6388332
