AREA,EMC_Group,RC_Group,FACILITYID,RC,RC_M,RC_Event,RCandCF,RC_Mcf,RC_WMAcf_M,RC_WMAcf,LSPC_LU_DESC,RC_Model_Outfall,SUM_Area,...1,Constituent,Fraction,Units,EMC,EMC_Model_LU,EMC_Model_LU_divisor
61.20348011,single family,Single Family Residential,J01-9992-1 (J01P27),0.405,0.4309018585120463,NA,NA,NA,0.10475399667667123,0.07981888209877125,RESSFH,0.07981888209877125,122.40696022,34,"Zinc, Total",Total,mg/L,0.1021,0.9975564847112415,9.770386725869162
61.20348011,single family,Single Family Residential,J01-9992-1 (J01P27),0.405,0.4309018585120463,NA,NA,NA,0.10475399667667123,0.07981888209877125,RESSFH,0.07981888209877125,122.40696022,35,"Copper, Total",Dissolved,mg/L,0.0148,0.1446017235428636,9.770386725869162
61.20348011,single family,Single Family Residential,J01-9992-1 (J01P27),0.405,0.4309018585120463,NA,NA,NA,0.10475399667667123,0.07981888209877125,RESSFH,0.07981888209877125,122.40696022,36,"Zinc, Total",Dissolved,mg/L,0.0413,0.40351697177839646,9.770386725869162
61.20348011,single family,Single Family Residential,J01-9992-1 (J01P27),0.405,0.4309018585120463,0.09977432485375572,0.09377680965523476,NA,0.10475399667667123,0.07981888209877125,RESSFH,0.07981888209877125,122.40696022,28,Fecal coliforms,Total,CFU/100 mL,11600,113336.48602008229,9.770386725869162
61.20348011,single family,Single Family Residential,J01-9992-1 (J01P27),0.405,0.4309018585120463,0.09977432485375572,0.09377680965523476,NA,0.10475399667667123,0.07981888209877125,RESSFH,0.07981888209877125,122.40696022,29,TN,Total,mg/L,4.12,40.25399331058095,9.770386725869162
61.20348011,single family,Single Family Residential,J01-9992-1 (J01P27),0.405,0.4309018585120463,0.09977432485375572,0.09377680965523476,NA,0.10475399667667123,0.07981888209877125,RESSFH,0.07981888209877125,122.40696022,30,TP,Total,mg/L,0.45,4.396674026641123,9.770386725869162
61.20348011,single family,Single Family Residential,J01-9992-1 (J01P27),0.405,0.4309018585120463,0.09977432485375572,0.09377680965523476,NA,0.10475399667667123,0.07981888209877125,RESSFH,0.07981888209877125,122.40696022,31,TSS,Total,mg/L,104.2,1018.0742968355668,9.770386725869162
61.20348011,single family,Single Family Residential,J01-9992-1 (J01P27),0.405,0.4309018585120463,0.09977432485375572,0.09377680965523476,NA,0.10475399667667123,0.07981888209877125,RESSFH,0.07981888209877125,122.40696022,32,"Copper, Total",Total,mg/L,0.0268,0.26184636425329355,9.770386725869162
61.20348011,single family,Single Family Residential,J01-9992-1 (J01P27),0.405,0.4309018585120463,0.09977432485375572,0.09377680965523476,NA,0.10475399667667123,0.07981888209877125,RESSFH,0.07981888209877125,122.40696022,33,"Lead, Total",Total,mg/L,0.0021,0.02051781212432524,9.770386725869162
61.20348011,single family,Single Family Residential,J01-9992-1 (J01P27),0.405,0.4309018585120463,0.09977432485375572,0.09377680965523476,NA,0.10475399667667123,0.07981888209877125,RESSFH,0.07981888209877125,122.40696022,34,"Zinc, Total",Total,mg/L,0.1021,0.9975564847112415,9.770386725869162
61.20348011,single family,Single Family Residential,J01-9992-1 (J01P27),0.405,0.4309018585120463,0.09977432485375572,0.09377680965523476,NA,0.10475399667667123,0.07981888209877125,RESSFH,0.07981888209877125,122.40696022,35,"Copper, Total",Dissolved,mg/L,0.0148,0.1446017235428636,9.770386725869162
61.20348011,single family,Single Family Residential,J01-9992-1 (J01P27),0.405,0.4309018585120463,0.09977432485375572,0.09377680965523476,NA,0.10475399667667123,0.07981888209877125,RESSFH,0.07981888209877125,122.40696022,36,"Zinc, Total",Dissolved,mg/L,0.0413,0.40351697177839646,9.770386725869162
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,NA,NA,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,28,Fecal coliforms,Total,CFU/100 mL,11600,753411.2105596827,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,NA,NA,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,29,TN,Total,mg/L,4.12,267.5908782332666,64.94924228962782
