FACILITYID,RC_M
J05-9271-2,0.4825567519906404
J05-9271-3,0.4849849812681712
J05-9271-4,0.4837514483060818
J05-9271-5,0.48391199110833644
J05-9271-6,0.40792711541661014
J05-9271-7,0.44194172851533736
J05-9800-1,0.344575513117613
J05-9800-2,0.12219476821816265
J06-10011-1 (J06P01),0.4612598638083348
J06-9079-1 (J06P03),0.3875056510746561
J06-9362-1,0.43850820332538104
J07-9019-2,0.3268188409743183
J07-9019-3,0.3995653832021809
J07-9022-1,0.42831218258811926
J07-9022-2,0.40842378391373096
J07-9022-3,0.38513718943657393
J07-9022-4,0.40019831820986607
J07-9022-6,0.3851371802787145
J07-9109-1,0.32404878570326673
J07-9109-2,0.3036905756870427
J07-9109-3,0.3492420106336467
J07-9109-4 (J07P02),0.39812587475814387
J07-9110-1,0.3041126914082523
J07-9110-2,0.29122463230632767
J07-9110-3,0.24305324892554836
K01-12032-1,0.4300067011765016
K01-12032-2 (K01P11),0.33994701737470917
K01-12032-3,0.3262288624145859
K01-12036-1,0.24562560236186687
K01-12036-10,0.3288705281160702
K01-12036-5,0.42299006963217983
K01-12036-8,0.2426143092105454
K01-12036-9,0.3022931495698014
K01-12046-2,0.30322679977518896
K01-12058-1 (K01P08),0.3405359774116865
K01-12058-2 (K01P09),0.30523313159367194
K01-12062-1,0.3256908578657077
K01-12126-1 (K01S01),0.3653361888385155
K01-12138-1 (K01TBN1),0.39701589269330745
K01-12155-1,0.2546648200896039
K01-12155-2,0.2571760884802737
K01-12155-5,0.24398152920846172
K01-12156-1,0.39916189653724377
K01-12156-3,0.3013402912920541
K01-12156-4,0.31884533727982217
K01-12156-6,0.3853828657144008
K01-12159-2,0.3647525986295179
K01-12159-3,0.3794995977812864
K01-12177-1,0.3701568834838581
L00-12094-1 (L00P01),0.4483167041399825
L01-125-1,0.2674740222493148
L01-125-2,0.13410643405593548
L01-125-3,0.2992906053880435
L01-218-1,0.21349073447751268
L01-218-2,0.2706024085376473
L01-218-3,0.35682960796257157
L01-218-4,0.37857566609452004
L01-223-1 (L08TBN1),0.29195081045470367
L01-242-1 (L07P16),0.27185197152236246
L01-261-1,0.37687727722467296
L01-303-1,0.13801939939294305
L01-303-2,0.3039915530425473
L01-303-3,0.3324980708679802
L01-303-4,0.29037975331018173
L01-303-5,0.23387750605217233
L01-335-1,0.20668571842369005
L01-335-2,0.1353136312346056
L01-340-1,0.32404423584062225
L01-372-1,0.29552927625845643
L01-391-1,0.3834005489406556
L01-391-2,0.22177033384452705
L01-391-3,0.32855209421054415
L01-399-1,0.10034078116305109
L01-399-2,0.10034078116305109
L01-404-1,0.27432913299782274
L01-404-2,0.23595415527532507
L01-414-1,0.25814739468392894
L01-414-2,0.3266117611875937
L01-414-3,0.24322438909452668
L01-458-1,0.09679422894526482
L01-471-1,0.3027335108897888
L01-494-1,0.3474404918929353
L01-514-1,0.23542629575434296
L01-517-1,0.25146916393748264
L01-517-2,0.25118642447567086
L01-517-3,0.14138973224197635
L01-517-6,0.37076894956735496
L01-517-7,0.329768525293735
L01-517-8,0.11496535292309909
L01-551-1,0.3662174463818066
L01-556-1,0.42993871822332824
L01-601-1,0.41717424204964393
L01-601-2,0.37737082675358363
L01-602-1,0.3208281181215842
L01-602-2,0.43191852040199996
L01-613-1,0.29297536370128985
L01-618-1,0.40815109499417224
L01-618-2,0.2824287350814635
L01-618-3,0.42743403445552086
L01-618-4,0.34739452859601694
L01-618-5 (L01S09),0.21212054009700007
L01-724-1 (L01S01),0.37730979553449856
L01-724-2,0.4116626831763222
L01-724-3,0.4480802660330762
L01-724-4 (L01P03),0.3532904558522492
L01-726-1,0.4145913766664926
L01-726-2,0.2276679455893324
L01-726-3,0.27991806769625477
L01-726-4,0.22186105379444043
L01-726-5,0.4121131355028991
L01-726-6,0.26795037655536946
L01-726-7,0.21737927182690708
L01-726-8,0.4004645041286836
L01-726-9,0.4577840679923681
L01-727-1 (L01S04),0.3836126391962446
L01-727-2,0.3536162493379951
L01-727-3,0.48599999999999993
L01-728-1,0.4783516800598192
L01-728-2,0.44428901399954956
L01-728-3 (L01S02),0.29842098723474497
L01-728-4,0.3793558592682858
L01-728-5 (L01-DP),0.41746529027499485
L01-728-6,0.48600000000000004
L01-728-7 (L01S03),0.3673372739032775
L01-728-8d,0.38285726492875505
L01-728-9,0.3841020810599494
L01-730-1,0.16719397944785716
L01-731-1 (L08TBN2),0.2578105439647477
L01-733-2,0.29164167099531585
L01-733-4,0.22868955063652951
L01-733-5,0.2286895539258733
L01-733-7,0.2718610617057979
L01-747-1,0.17631998634712087
L01-747-2,0.23183209164270208
L01-748-1,0.40342333996885454
L01-748-2,0.39156997621656536
L01-749-1,0.3766300999992223
L01-749-2,0.37968558169566513
L01-749-2d,0.3983340198413765
L01-749-3,0.3983340277965863
L01-749-5,0.35123590615008593
L01-759-1,0.3672581008326723
L01-760-1,0.36908957102222134
L01-760-2,0.36961182232414247
L01-760-3,0.389227001025639
L01-766-2 (L01S06),0.4167719048158819
L01-766-3,0.24513759400874974
L01-766-4,0.42409405741358286
L01-766-5,0.31991320428589337
L01-766-7,0.4755124531620716
L01-766-8,0.47551245427199634
L01-766-9,0.2762457502059636
L02-108-1,0.217
L02-166-1 (L02PXX),0.3467851378503109
L02-166-2 (L02P25),0.3820382435520306
L02-166-3 (L02P26),0.351164289203244
L02-198-1 (L02P29),0.21684150586761286
L02-204-1 (L02P45),0.3985925860580172
L02-246-1 (L11P01),0.366381696111204
L02-344-1,0.28318171750423626
L02-344-2,0.2831817216235069
L02-359-1 (L02P43),0.37072989134682216
L02-366-1 (MVL02P14),0.3947279003942997
L02-374-1 (L02P50),0.3102574500465813
L02-374-2 (MVL02P20),0.3688895783350185
L02-396-1,0.392736372419806
L02-401-1,0.3867542110318107
L02-401-2 (COL02P55),0.33255338313615573
