Station,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Parameter,Units,Qualifier,Result,LSPC_LU_DESC,RC_Group,EMC_Group,AREA,...1,EMC
I01-11021-1,2024-01-23T11:40:00Z,3246006,Dissolved,Composite,2024-01-21T22:00:00Z,2024-01-22T21:00:00Z,"Copper, Total",mg/L,NA,0.026,TRANS,Streets and Roads,surface street,4.574449721,53,0.0176
K01-12156-4,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0058,COMM,Commercial,business,28.98139563,14,0.0254
K01-12156-4,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0058,EDU,Education,business,10.6381713,14,0.0254
K01-12156-4,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0058,UTIL,Commercial,business,3.655181553,14,0.0254
K01-12156-4,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0058,RESSFH,Single Family Residential,single family,452.1688058,32,0.0268
K01-12156-4,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0058,RESMF,Multi-family Residential,multi-family,115.2027058,23,0.0243
K01-12156-4,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0058,TRANS,Streets and Roads,surface street,204.1380337,50,0.0306
K01-12156-4,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0058,OSAGIR,Agriculture,agriculture,0.061877768,5,0.0501
K01-12156-4,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0058,OSAGNI,Agriculture,agriculture,0.209400486,5,0.0501
K01-12156-4,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0058,OSDEV,Developed Open Space,developed open space,246.8853049,59,0.0106
K01-12156-4,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0058,OSIRR,Developed Open Space,developed open space,100.2642349,59,0.0106
K01-12156-4,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0058,OSLOW,Open Space,open space,249.8212099,68,0.0106
K01-12156-4,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0058,OSFOR,Open Space,open space,0.668880764,68,0.0106
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.0064,UTIL,Commercial,business,1.010099388,14,0.0254
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.0064,RESSFH,Single Family Residential,single family,149.1154118,32,0.0268
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.0064,RESMF,Multi-family Residential,multi-family,36.16529925,23,0.0243
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.0064,TRANS,Streets and Roads,surface street,74.15666836,50,0.0306
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.0064,TRFWY,Freeway,highway/arterial,14.19020613,41,0.0522
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.0064,OSDEV,Developed Open Space,developed open space,68.55579814,59,0.0106
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.0064,OSIRR,Developed Open Space,developed open space,20.23013096,59,0.0106
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.0064,OSLOW,Open Space,open space,0.529641331,68,0.0106
J03-9216-2,2024-01-21T10:47:00Z,3252003,Total,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,"Copper, Total",mg/L,NA,0.012,COMM,Commercial,business,100.5233985,14,0.0254
J03-9216-2,2024-01-21T10:47:00Z,3252003,Total,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,"Copper, Total",mg/L,NA,0.012,EDU,Education,business,18.96781026,14,0.0254
J03-9216-2,2024-01-21T10:47:00Z,3252003,Total,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,"Copper, Total",mg/L,NA,0.012,UTIL,Commercial,business,2.471299399,14,0.0254
J03-9216-2,2024-01-21T10:47:00Z,3252003,Total,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,"Copper, Total",mg/L,NA,0.012,RESSFH,Single Family Residential,single family,406.8538708,32,0.0268
J03-9216-2,2024-01-21T10:47:00Z,3252003,Total,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,"Copper, Total",mg/L,NA,0.012,RESMF,Multi-family Residential,multi-family,113.2233244,23,0.0243
J03-9216-2,2024-01-21T10:47:00Z,3252003,Total,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,"Copper, Total",mg/L,NA,0.012,TRANS,Streets and Roads,surface street,173.1021842,50,0.0306
J03-9216-2,2024-01-21T10:47:00Z,3252003,Total,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,"Copper, Total",mg/L,NA,0.012,OSDEV,Developed Open Space,developed open space,169.8973991,59,0.0106
J03-9216-2,2024-01-21T10:47:00Z,3252003,Total,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,"Copper, Total",mg/L,NA,0.012,OSIRR,Developed Open Space,developed open space,73.17995626,59,0.0106
J03-9216-2,2024-01-21T10:47:00Z,3252003,Total,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,"Copper, Total",mg/L,NA,0.012,OSLOW,Open Space,open space,57.52158751,68,0.0106
J03-9216-2,2024-01-21T10:47:00Z,3252003,Total,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,"Copper, Total",mg/L,NA,0.012,OSFOR,Open Space,open space,7.54613084,68,0.0106
J07-9109-4 (J07P02),2024-01-21T12:09:00Z,3252004,Total,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,"Copper, Total",mg/L,NA,0.021,COMM,Commercial,business,31.73121487,14,0.0254
J07-9109-4 (J07P02),2024-01-21T12:09:00Z,3252004,Total,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,"Copper, Total",mg/L,NA,0.021,EDU,Education,business,44.25864932,14,0.0254
J07-9109-4 (J07P02),2024-01-21T12:09:00Z,3252004,Total,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,"Copper, Total",mg/L,NA,0.021,UTIL,Commercial,business,0.562630565,14,0.0254
J07-9109-4 (J07P02),2024-01-21T12:09:00Z,3252004,Total,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,"Copper, Total",mg/L,NA,0.021,RESSFH,Single Family Residential,single family,127.8891464,32,0.0268
