LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,FACILITYID,Shape_Area,AREA,PERCENTAGE,Jurisdiction
EDU,20,Education,business,0.422,J01-10019-1 (J01P33),752541.249,17.27603901,23.68555737,Aliso Viejo
EDU,20,Education,business,0.422,J01-10041-2 (J03P13),368138.074,8.451321088,2.255522172,Laguna Niguel
EDU,20,Education,business,0.422,J01-9007-1 (J02P05),539908.1132,12.39463436,8.512055485,Aliso Viejo
EDU,20,Education,business,0.422,J01-9008-1 (J01P30),170489.4687,3.913915304,1.849918785,Aliso Viejo
EDU,20,Education,business,0.422,J01-9031-1,483609.1689,11.10218327,3.713605459,Lake Forest
EDU,20,Education,business,0.422,J01-9033-1,52110.50916,1.196297466,2.910398611,Lake Forest
EDU,20,Education,business,0.422,J01-9046-2,12354.89538,0.283630505,0.611749647,Lake Forest
EDU,20,Education,business,0.422,J01-9066-1 (J01P04),39119.51976,0.898064193,1.093576155,Mission Viejo
EDU,20,Education,business,0.422,J01-9066-2 (J01P03),1254325.526,28.79546702,6.850360148,Mission Viejo
EDU,20,Education,business,0.422,J01-9144-1 (J01P23),413059.0574,9.482569091,5.404457191,Laguna Niguel
EDU,20,Education,business,0.422,J01-9144-4 (J01P26),1135566.975,26.06913493,13.47289943,Aliso Viejo
EDU,20,Education,business,0.422,J01-9264-1 (J01P06),483609.1689,11.10218327,1.630441272,Lake Forest
EDU,20,Education,business,0.422,J01-9275-2,1958.745885,0.044966798,0.10522919,Lake Forest
EDU,20,Education,business,0.422,J01-9377-1,11349.1392,0.260541428,0.756357773,Lake Forest
EDU,20,Education,business,0.422,J01-9992-1 (J01P27),1418736.83,32.5698463,5.880715414,Aliso Viejo
EDU,20,Education,business,0.422,J03-9215-3,49433.80696,1.134848593,0.730803934,Laguna Niguel
EDU,20,Education,business,0.422,J03-9216-2,826234.5098,18.96781026,1.688598808,Laguna Niguel
EDU,20,Education,business,0.422,J03-9234-6,267738.3518,6.146451394,2.648293877,Laguna Niguel
EDU,20,Education,business,0.422,J03-9234-8,267738.3699,6.146427225,0.934166485,Laguna Niguel
EDU,20,Education,business,0.422,J03-9368-1 (J03TBN1),671437.4638,15.41414485,16.69215921,Laguna Niguel
EDU,20,Education,business,0.422,J07-9109-4 (J07P02),1927899.053,44.25864932,11.20681809,Mission Viejo
EDU,20,Education,business,0.422,J07-9110-2,497298.6669,11.41645216,8.558637239,Mission Viejo
EDU,20,Education,business,0.422,K01-12058-1 (K01P08),447665.0957,10.27701759,3.118768629,Laguna Niguel
EDU,20,Education,business,0.422,K01-12126-1 (K01S01),196105.5798,4.50198265,0.508553043,Dana Point
EDU,20,Education,business,0.422,K01-12156-1,143504.3332,3.294419357,3.727227778,Laguna Niguel
EDU,20,Education,business,0.422,K01-12159-2,2268621.657,52.08038699,7.611531435,Dana Point
EDU,20,Education,business,0.422,L01-335-1,3287876.439,75.47955901,17.05857069,Orange Co
EDU,20,Education,business,0.422,L01-335-2,3287876.433,75.47925696,4.717339707,Orange Co
EDU,20,Education,business,0.422,L01-391-3,236.6247323,0.005432178,0.0063528,Orange Co
EDU,20,Education,business,0.422,L01-618-1,216061.017,4.960098284,5.355150239,San Juan Capistrano
EDU,20,Education,business,0.422,L01-618-3,268526.5128,6.164545155,88.98004362,San Juan Capistrano
EDU,20,Education,business,0.422,L01-618-4,359203.5792,8.246212489,7.587639802,San Juan Capistrano
EDU,20,Education,business,0.422,L01-618-5 (L01S09),74189.17588,1.703155938,0.433366065,San Juan Capistrano
EDU,20,Education,business,0.422,L01-724-1 (L01S01),361450.7072,8.297799655,2.927850258,San Juan Capistrano
EDU,20,Education,business,0.422,L01-724-4 (L01P03),926839.4944,21.27739214,6.084083524,San Juan Capistrano
EDU,20,Education,business,0.422,L01-733-2,126229.3962,2.897839786,2.406258638,Orange Co
EDU,20,Education,business,0.422,L01-747-2,49209.44293,1.129697883,0.469500574,San Juan Capistrano
EDU,20,Education,business,0.422,L01-748-2,375150.396,8.612268044,7.231593179,San Juan Capistrano
EDU,20,Education,business,0.422,L02-166-3 (L02P26),588419.839,13.5083148,2.730686679,Rancho Santa Margarita
EDU,20,Education,business,0.422,L02-246-1 (L11P01),400167.5831,9.186620381,4.028683997,Rancho Santa Margarita
EDU,20,Education,business,0.422,L02-366-1 (MVL02P14),458.8281026,0.010533286,0.005297831,Mission Viejo
EDU,20,Education,business,0.422,L02-374-2 (MVL02P20),271091.9382,6.223439452,7.379187805,Orange Co
EDU,20,Education,business,0.422,L02-396-1,347030.6465,7.966759289,4.112184425,Mission Viejo
EDU,20,Education,business,0.422,L02-401-1,347030.6465,7.966759289,3.99366139,Orange Co
EDU,20,Education,business,0.422,L02-541-9 (L02P02),355731.0706,8.166494341,3.672557033,San Juan Capistrano
EDU,20,Education,business,0.422,L02-622-1 (L02P28),53974.7899,1.239095634,0.482265646,Rancho Santa Margarita
EDU,20,Education,business,0.422,L02-622-2 (L02P32),38589.42184,0.88589477,0.155000709,Rancho Santa Margarita
EDU,20,Education,business,0.422,L02-640-1 (L11P02),661672.5007,15.18997125,2.985180356,Rancho Santa Margarita
EDU,20,Education,business,0.422,L02-641-1,3002762.392,68.93421494,7.441520597,Rancho Santa Margarita
EDU,20,Education,business,0.422,L02-641-2,3002762.392,68.93421494,7.441520597,Rancho Santa Margarita
EDU,20,Education,business,0.422,L03-214-2 (L03P18),9813.03201,0.225277118,0.015181306,Mission Viejo
EDU,20,Education,business,0.422,L03-240-1 (L03P14),5363.646054,0.123132863,0.035800645,Mission Viejo
EDU,20,Education,business,0.422,L03-241-3,376018.6496,8.632234933,1.195484121,Mission Viejo
EDU,20,Education,business,0.422,L03-241-4,394.992036,0.009067806,0.004328362,Mission Viejo
EDU,20,Education,business,0.422,L03-316-2,144826.2009,3.324765386,2.324334878,Mission Viejo
EDU,20,Education,business,0.422,L03-316-3 (L03P12),160047.5566,3.674201027,1.016589881,Mission Viejo
EDU,20,Education,business,0.422,L03-418-1,1953114.886,44.8375275,36.24276654,Laguna Niguel
EDU,20,Education,business,0.422,L03-455-2,102183.0953,2.34581047,5.140166788,San Juan Capistrano
EDU,20,Education,business,0.422,L03-455-3 (L03P37),1737938.302,39.8977331,55.30057534,San Juan Capistrano
EDU,20,Education,business,0.422,L03-693-1 (L03P11),503386.362,11.55620697,4.12998457,Mission Viejo
EDU,20,Education,business,0.422,L04-136-1u (L04P07),936479.1748,21.49860365,4.728187766,Mission Viejo
EDU,20,Education,business,0.422,L04-266-1,82786.18662,1.900516937,3.501303687,Mission Viejo
EDU,20,Education,business,0.422,L04-266-5,1121857.512,25.75440771,4.456912716,Mission Viejo
EDU,20,Education,business,0.422,L04-301-1 (L04P08),1722873.758,39.55189736,20.61753064,Mission Viejo
EDU,20,Education,business,0.422,L04-672-1,524343.8703,12.03727893,2.966467149,Mission Viejo
EDU,20,Education,business,0.422,L04-702-4,11707.49927,0.268768276,0.071714584,Mission Viejo
EDU,20,Education,business,0.422,L05-049-1,47815.13285,1.0976888,0.229510456,Orange Co
EDU,20,Education,business,0.422,L05-489-3,1511717.092,34.70438795,1.893854193,Orange Co
EDU,20,Education,business,0.422,L05-489-3d,1511717.092,34.70438795,1.797845442,Orange Co
