RC_Group,FACILITYID,AREA,RC_WMAcf
Commercial,K01-12159-2,11.01050553,0.12161927879041888
Commercial,K01-12159-3,0.001353294,0.12161927879041888
Commercial,K01-12177-1,21.20449036,0.12161927879041888
Commercial,L00-12094-1 (L00P01),21.39246708,0.12161927879041888
Commercial,L01-458-1,0.551328853,0.12161927879041888
Commercial,L01-514-1,2.66872691,0.12161927879041888
Commercial,L01-517-1,11.64517129,0.12161927879041888
Commercial,L01-517-2,11.64512387,0.12161927879041888
Commercial,L01-517-3,17.02699332,0.12161927879041888
Commercial,L01-517-6,0.354807447,0.12161927879041888
Commercial,L01-517-7,0.166962544,0.12161927879041888
Commercial,L01-602-1,121.9305928,0.12161927879041888
Commercial,L01-602-2,15.16593778,0.12161927879041888
Commercial,L01-613-1,47.02495903,0.12161927879041888
Commercial,L01-618-1,22.68814558,0.12161927879041888
Commercial,L01-618-2,4.0849922,0.12161927879041888
Commercial,L01-618-3,0.015823338,0.12161927879041888
Commercial,L01-618-5 (L01S09),1.793238624,0.12161927879041888
Commercial,L01-724-1 (L01S01),1.168577451,0.12161927879041888
Commercial,L01-724-3,9.895826857,0.12161927879041888
Commercial,L01-724-4 (L01P03),9.838496086,0.12161927879041888
Commercial,L01-726-1,5.49282e-4,0.12161927879041888
Commercial,L01-726-3,2.64830975,0.12161927879041888
Commercial,L01-726-5,0.140944097,0.12161927879041888
Commercial,L01-726-9,21.82863019,0.12161927879041888
Commercial,L01-727-1 (L01S04),13.58650427,0.12161927879041888
Commercial,L01-727-3,4.659642497,0.12161927879041888
Commercial,L01-728-1,1.421172096,0.12161927879041888
Commercial,L01-728-2,9.566008014,0.12161927879041888
Commercial,L01-728-3 (L01S02),74.06922061,0.12161927879041888
Commercial,L01-728-4,10.48151122,0.12161927879041888
Commercial,L01-728-5 (L01-DP),11.56177355,0.12161927879041888
Commercial,L01-728-6,4.339335198,0.12161927879041888
Commercial,L01-728-7 (L01S03),42.17160292,0.12161927879041888
Commercial,L01-728-8d,12.26020482,0.12161927879041888
Commercial,L01-728-9,11.7324216,0.12161927879041888
Commercial,L01-733-2,1.584523476,0.12161927879041888
Commercial,L01-747-1,3.037638958,0.12161927879041888
Commercial,L01-748-2,1.17916e-4,0.12161927879041888
Commercial,L01-766-2 (L01S06),35.60390161,0.12161927879041888
Commercial,L01-766-3,46.36962553,0.12161927879041888
Commercial,L01-766-4,1.710943201,0.12161927879041888
Commercial,L01-766-5,10.10704055,0.12161927879041888
Commercial,L01-766-7,41.77471597,0.12161927879041888
Commercial,L01-766-8,41.77454704,0.12161927879041888
Commercial,L01-766-9,18.2976232,0.12161927879041888
Commercial,L02-166-3 (L02P26),3.80064177,0.12161927879041888
Commercial,L02-366-1 (MVL02P14),5.068520435,0.12161927879041888
Commercial,L02-374-1 (L02P50),13.31765661,0.12161927879041888
Commercial,L02-396-1,2.76547004,0.12161927879041888
Commercial,L02-401-1,2.76547004,0.12161927879041888
Commercial,L02-401-2 (COL02P55),10.68727003,0.12161927879041888
Commercial,L02-412-1,0.020669321,0.12161927879041888
Commercial,L02-502-1,0.14995114,0.12161927879041888
Commercial,L02-541-2,1.32030102,0.12161927879041888
Commercial,L02-541-6,7.783184473,0.12161927879041888
Commercial,L02-541-9 (L02P02),16.45122245,0.12161927879041888
Commercial,L02-571-2,2.691347183,0.12161927879041888
Commercial,L02-571-3,3.750241954,0.12161927879041888
Commercial,L02-571-4,2.740917281,0.12161927879041888
Commercial,L02-571-5 (L02TBN2),6.630343448,0.12161927879041888
Commercial,L02-622-1 (L02P28),121.7682254,0.12161927879041888
Commercial,L02-622-2 (L02P32),61.49280398,0.12161927879041888
Commercial,L02-640-1 (L11P02),104.8366057,0.12161927879041888
Commercial,L02-641-1,75.90525195,0.12161927879041888
Commercial,L02-641-2,75.90525195,0.12161927879041888
Commercial,L03-073-3 (With Upper Oso),60.48996231,0.12161927879041888
Commercial,L03-074-1 (L03B01),1.030925706,0.12161927879041888
Commercial,L03-141-1 (With Upper Oso),60.4899377,0.12161927879041888
Commercial,L03-142-1 (L03P24),40.21526161,0.12161927879041888
Commercial,L03-214-2 (L03P18),32.1784895,0.12161927879041888
Commercial,L03-214-2 (With Upper Oso),72.4690557,0.12161927879041888
Commercial,L03-316-2,44.61902591,0.12161927879041888
Commercial,L03-316-3 (L03P12),3.159480758,0.12161927879041888
Commercial,L03-316-4,11.62824712,0.12161927879041888
Commercial,L03-418-1,35.68215761,0.12161927879041888
Commercial,L03-418-2,5.368870211,0.12161927879041888
Commercial,L03-418-3,5.368891003,0.12161927879041888
Commercial,L03-418-4,5.574712076,0.12161927879041888
Commercial,L03-418-8,86.09086323,0.12161927879041888
Commercial,L03-455-1,78.16232447,0.12161927879041888
Commercial,L03-455-2,10.70279965,0.12161927879041888
Commercial,L03-455-3 (L03P37),6.961704565,0.12161927879041888
Commercial,L03-455-4,78.16201237,0.12161927879041888
Commercial,L03-455-5,19.12149787,0.12161927879041888
Commercial,L03-455-6,0.264490467,0.12161927879041888
Commercial,L03-455-7,2.435584257,0.12161927879041888
